Taxon_orig,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI
Ptychoptera,FALSE,,Ptychoptera,Ptychoptera,Ptychoptera,Ptychoptera
Ptychopteridae,FALSE,,DNI,Ptychopteridae,Ptychopteridae,DNI
Pulmonata,FALSE,TOO COARSE,DNI,Pulmonata,Pulmonata,DNI
Pycnopsyche,FALSE,,DNI,Limnephilidae,Limnephilidae,DNI
Pyganodon,FALSE,,DNI,Unionoidea,Unionoidea,DNI
Pyralidae,FALSE,Lot of these are terrestrial,DNI,Lepidoptera,Lepidoptera,DNI
Pyrgulopsis,FALSE,,Truncatelloidea,Truncatelloidea,Truncatelloidea,Truncatelloidea
Quistadrilus multisetosus,FALSE,,Tubificinae,Quistradrilus,Oligochaeta,Tubificinae
Quistradrilus,FALSE,,Tubificinae,Quistradrilus,Oligochaeta,Tubificinae
Radix,FALSE,,Lymnaeidae,Radix,Radix,Lymnaeidae
Radix auricularia,FALSE,,Lymnaeidae,Radix,Radix,Lymnaeidae
Radotanypus,FALSE,,Radotanypus,Radotanypus,Radotanypus,Radotanypus
Radotanypus submarginella,FALSE,,Radotanypus,Radotanypus,Radotanypus,Radotanypus
Ramellogammarus,FALSE,,Anisogammaridae,Ramellogammarus,Ramellogammarus,DNI
Ranatra,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Ranatra fusca,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Randidrilus,FALSE,,DNI,Enchytraeidae,Oligochaeta,DNI
Reomyia,FALSE,Current Nomenclature,Zavrelimyia,Zavrelimyia,Zavrelimyia,Zavrelimyia
Rhabdomastix,FALSE,,Rhabdomastix,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix (Lurdia),FALSE,,Rhabdomastix,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),Rhabdomastix
Rhabdomastix (Rhabdomastix (Rhabdomastix)),FALSE,,Rhabdomastix,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix fascigera gr.,FALSE,,Rhabdomastix,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix Fascigera Group,FALSE,,Rhabdomastix,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix fascigera group,FALSE,best to leave at genus,Rhabdomastix,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix fascigera Group,FALSE,formatting and best to leave at genus,Rhabdomastix,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix setigera gr.,FALSE,,Rhabdomastix,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),Rhabdomastix
Rhabdomastix Setigera Gr.,FALSE,best to leave at subgenus,Rhabdomastix,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),Rhabdomastix
Rhabdomastix Setigera Group,FALSE,,Rhabdomastix,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),Rhabdomastix
Rhabdomastix setigera group,FALSE,best to leave at subgenus,Rhabdomastix,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),Rhabdomastix
Rhabdomastix setigera Group,FALSE,formatting and best to leave at subgenus,Rhabdomastix,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),Rhabdomastix
Rhagovelia,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Rhagovelia distincta,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Rhantus,FALSE,,DNI,Colymbetinae,Dytiscidae,DNI
Rhantus binotatus,FALSE,,DNI,Colymbetinae,Dytiscidae,DNI
Rhantus consimilis,FALSE,,DNI,Colymbetinae,Dytiscidae,DNI
Rheocricotopus,FALSE,,Rheocricotopus,Rheocricotopus,Rheocricotopus,Rheocricotopus
Rheocricotopus effusus,FALSE,,Rheocricotopus,Rheocricotopus,Rheocricotopus,Rheocricotopus
Rheocricotopus eminellobus,FALSE,,Rheocricotopus,Rheocricotopus,Rheocricotopus,Rheocricotopus
Rheopelopia,FALSE,These should all have been Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group
Rheosmittia,FALSE,,DNI,Rheosmittia,Rheosmittia,DNI
Rheotanytarsus,FALSE,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rheotanytarsus exiguus,FALSE,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rheotanytarsus exiguus Group,FALSE,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rheotanytarsus Exiguus Group,FALSE,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rheotanytarsus pellucidus,FALSE,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rheotanytarsus pellucidus Group,FALSE,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rheotanytarsus Pellucidus Group,FALSE,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rhionaeshna,FALSE,,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Rhips,FALSE,,Nemata,Nemata,Rhips,Nemata
Rhithrogena,FALSE,,Rhithrogena,Rhithrogena,Rhithrogena,Rhithrogena
Rhithrogena hageni,FALSE,,Rhithrogena,Rhithrogena,Rhithrogena,Rhithrogena
Rhithrogena robusta,FALSE,,Rhithrogena,Rhithrogena,Rhithrogena,Rhithrogena
Rhizelmis,FALSE,,DNI,Rhizelmis,Rhizelmis,DNI
Rhizelmis nigra,FALSE,,DNI,Rhizelmis,Rhizelmis,DNI
Rhyacodrilinae,FALSE,,DNI,Rhyacodrilinae,Oligochaeta,DNI
Rhyacodrilis,FALSE,,DNI,Rhyacodrilus,Oligochaeta,DNI
Rhyacodrilus,FALSE,,DNI,Rhyacodrilus,Oligochaeta,DNI
Rhyacodrilus falciformis,FALSE,,DNI,Rhyacodrilus,Oligochaeta,DNI
Rhyacophila,FALSE,formatting,DNI,Rhyacophila,Rhyacophila,DNI
Rhyacophila Alberta Gr.,FALSE,formatting,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group
Rhyacophila alberta group,FALSE,formatting,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group
Rhyacophila Alberta Group,FALSE,formatting,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group
Rhyacophila alberta Group,FALSE,formatting,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group
Rhyacophila angelita,FALSE,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group
Rhyacophila Angelita Gr.,FALSE,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group
Rhyacophila angelita group,FALSE,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group
Rhyacophila Angelita Group,FALSE,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group
Rhyacophila angelita Group,FALSE,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group
Rhyacophila arnaudi,FALSE,formatting,Rhyacophila arnaudi,Rhyacophila arnaudi,Rhyacophila arnaudi,Rhyacophila arnaudi
Rhyacophila atrata,FALSE,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila atrata complex,FALSE,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila atrata Group,FALSE,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila atrata group,FALSE,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila basalis,FALSE,formatting,DNI,Rhyacophila Basalis Group,Rhyacophila Basalis Group,DNI
Rhyacophila basalis group,FALSE,formatting,DNI,Rhyacophila Basalis Group,Rhyacophila Basalis Group,DNI
Rhyacophila Basalis Group,FALSE,formatting,DNI,Rhyacophila Basalis Group,Rhyacophila Basalis Group,DNI
Rhyacophila betteni,FALSE,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila Betteni Gr.,FALSE,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila betteni group,FALSE,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila Betteni Group,FALSE,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila betteni Group,FALSE,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila blarina,FALSE,formatting,Rhyacophila blarina,Rhyacophila blarina,Rhyacophila blarina,Rhyacophila blarina
Rhyacophila brevicephala,FALSE,formatting,DNI,Rhyacophila,Rhyacophila,DNI
Rhyacophila brunnea,FALSE,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila brunnea group,FALSE,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila brunnea Group,FALSE,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila Brunnea/Vemna Gr.,FALSE,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila brunnea/vemna group,FALSE,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila Brunnea/Vemna Group,FALSE,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila brunnea/vemna Group,FALSE,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila brunnea/vemna groups,FALSE,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila Brunnea/Vemna Groups,FALSE,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila chilsia,FALSE,formatting- this should be in betteni group,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila coloradensis,FALSE,formatting,DNI,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group,DNI
Rhyacophila Coloradensis Gr.,FALSE,formatting,DNI,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group,DNI
Rhyacophila coloradensis group,FALSE,formatting,DNI,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group,DNI
Rhyacophila Coloradensis Group,FALSE,formatting,DNI,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group,DNI
Rhyacophila coloradensis Group,FALSE,formatting,DNI,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group,DNI
Rhyacophila ecosa,FALSE,formatting,DNI,Rhyacophila,Rhyacophila,DNI
Rhyacophila Ecosa Gr,FALSE,formatting,DNI,Rhyacophila,Rhyacophila,DNI
Rhyacophila Ecosa group,FALSE,formatting,DNI,Rhyacophila,Rhyacophila,DNI
Rhyacophila Ecosa Group,FALSE,formatting,DNI,Rhyacophila,Rhyacophila,DNI
Rhyacophila ecosa group,FALSE,best to leave at genus,DNI,Rhyacophila,Rhyacophila,DNI
Rhyacophila ecosa Group,FALSE,best to leave at genus,DNI,Rhyacophila,Rhyacophila,DNI
Rhyacophila grandis,FALSE,formatting,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group
Rhyacophila Grandis Gr.,FALSE,formatting,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group
Rhyacophila grandis group,FALSE,formatting,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group
Rhyacophila Grandis Group,FALSE,formatting,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group
Rhyacophila hyalinata,FALSE,formatting,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group
Rhyacophila Hyalinata Gr.,FALSE,formatting,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group
Rhyacophila hyalinata group,FALSE,formatting,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group
Rhyacophila Hyalinata Group,FALSE,formatting,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group
Rhyacophila hyalinata Group,FALSE,formatting,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group
Rhyacophila inculta,FALSE,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila iranda,FALSE,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila Iranda Gr,FALSE,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila Iranda Group,FALSE,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila iranda group,FALSE,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila lieftincki,FALSE,formatting,Rhyacophila arnaudi,Rhyacophila arnaudi,Rhyacophila arnaudi,Rhyacophila arnaudi
Rhyacophila Lieftincki Gr.,FALSE,formatting,Rhyacophila arnaudi,Rhyacophila arnaudi,Rhyacophila arnaudi,Rhyacophila arnaudi
Rhyacophila lieftincki group,FALSE,formatting,Rhyacophila arnaudi,Rhyacophila arnaudi,Rhyacophila arnaudi,Rhyacophila arnaudi
Rhyacophila malkini,FALSE,formatting,Rhyacophila malkini,Rhyacophila malkini,Rhyacophila malkini,DNI
Rhyacophila narvae,FALSE,formatting,Rhyacophila narvae,Rhyacophila narvae,Rhyacophila narvae,Rhyacophila narvae
Rhyacophila neograndis,FALSE,formatting,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group
Rhyacophila Nevadensis Gr.,FALSE,formatting,DNI,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group,DNI
Rhyacophila nevadensis group,FALSE,formatting,DNI,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group,DNI
Rhyacophila Nevadensis Group,FALSE,formatting,DNI,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group,DNI
Rhyacophila nevadensis Group,FALSE,formatting,DNI,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group,DNI
Rhyacophila oreta,FALSE,formatting,DNI,Rhyacophila Oreta Group,Rhyacophila Oreta Group,DNI
Rhyacophila Oreta Gr.,FALSE,formatting,DNI,Rhyacophila Oreta Group,Rhyacophila Oreta Group,DNI
Rhyacophila oreta group,FALSE,formatting,DNI,Rhyacophila Oreta Group,Rhyacophila Oreta Group,DNI
Rhyacophila Oreta Group,FALSE,formatting,DNI,Rhyacophila Oreta Group,Rhyacophila Oreta Group,DNI
Rhyacophila oreta/rotunda,FALSE,formatting,DNI,Rhyacophila,Rhyacophila,DNI
Rhyacophila Oreta/Rotunda Gr.,FALSE,formatting,DNI,Rhyacophila,Rhyacophila,DNI
Rhyacophila Oreta/Rotunda Group,FALSE,formatting,DNI,Rhyacophila,Rhyacophila,DNI
Rhyacophila pellisa,FALSE,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila pellisa/valuma,FALSE,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila Pellisa/Valuma Group,FALSE,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila perda,FALSE,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila rickeri,FALSE,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group
Rhyacophila rotunda,FALSE,formatting,DNI,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group,DNI
Rhyacophila Rotunda Gr.,FALSE,formatting,DNI,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group,DNI
Rhyacophila rotunda group,FALSE,formatting,DNI,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group,DNI
Rhyacophila Rotunda Group,FALSE,formatting,DNI,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group,DNI
Rhyacophila rotunda Group,FALSE,formatting,DNI,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group,DNI
Rhyacophila sibirica,FALSE,formatting,DNI,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,DNI
Rhyacophila Sibirica Gr.,FALSE,formatting,DNI,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,DNI
Rhyacophila sibirica group,FALSE,formatting,DNI,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,DNI
Rhyacophila Sibirica Group,FALSE,formatting,DNI,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,DNI
Rhyacophila sibirica Group,FALSE,formatting,DNI,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,DNI
Rhyacophila sibirica group A,FALSE,formatting,DNI,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,DNI
Rhyacophila sibirica group B,FALSE,formatting,DNI,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,DNI
Rhyacophila sibirica group C,FALSE,formatting,DNI,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,DNI
Rhyacophila tucula,FALSE,formatting,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group
Rhyacophila vaccua,FALSE,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila vaefes,FALSE,formatting,DNI,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group,DNI
Rhyacophila vagrita,FALSE,formatting,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group
Rhyacophila Vagrita Gr.,FALSE,formatting,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group
Rhyacophila vagrita group,FALSE,formatting,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group
Rhyacophila Vagrita Group,FALSE,formatting,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group
Rhyacophila vagrita Group,FALSE,formatting,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group
Rhyacophila valuma,FALSE,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila vedra,FALSE,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila Vemna Group,FALSE,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila verrula,FALSE,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group
Rhyacophila Verrula Gr.,FALSE,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group
Rhyacophila verrula group,FALSE,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group
Rhyacophila Verrula Group,FALSE,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group
Rhyacophila verrula Group,FALSE,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group
Rhyacophila vetina,FALSE,formatting,DNI,Rhyacophila vetina complex,Rhyacophila vetina complex,DNI
Rhyacophila vetina complex,FALSE,formatting,DNI,Rhyacophila vetina complex,Rhyacophila vetina complex,DNI
Rhyacophila vetina Complex,FALSE,formatting,DNI,Rhyacophila vetina complex,Rhyacophila vetina complex,DNI
Rhyacophila viquaea,FALSE,formatting,DNI,Rhyacophila Viquaea Group,Rhyacophila Viquaea Group,DNI
Rhyacophila viquaea group,FALSE,formatting,DNI,Rhyacophila Viquaea Group,Rhyacophila Viquaea Group,DNI
Rhyacophila Viquaea Group,FALSE,formatting,DNI,Rhyacophila Viquaea Group,Rhyacophila Viquaea Group,DNI
Rhyacophila visor group,FALSE,formatting,DNI,Rhyacophila Visor Group,Rhyacophila Visor Group,DNI
Rhyacophila Visor Group,FALSE,formatting,DNI,Rhyacophila Visor Group,Rhyacophila Visor Group,DNI
Rhyacophila visor Group,FALSE,formatting,DNI,Rhyacophila Visor Group,Rhyacophila Visor Group,DNI
Rhyacophila vofixa,FALSE,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila Vofixa Gr.,FALSE,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila vofixa group,FALSE,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila Vofixa Group,FALSE,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila vofixa Group,FALSE,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila vuzana,FALSE,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group
Rhyacophilidae,FALSE,formatting,DNI,Rhyacophila,Rhyacophila,DNI
Rhynchelmis,FALSE,,Lumbriculidae,Rhynchelmis,Oligochaeta,Lumbriculidae
Rhynchobdellida,FALSE,Too Coarse,Hirudinida,Rhynchobdellida,Rhynchobdellida,Hirudinida
Rickera,FALSE,Slashed taxon,Kogotus/Rickera,Kogotus/Rickera,Kogotus/Rickera,Kogotus/Rickera
Rickera sorpta,FALSE,Slashed taxon,Kogotus/Rickera,Kogotus/Rickera,Kogotus/Rickera,Kogotus/Rickera
Ripistes parasita,FALSE,,DNI,Ripistes parasita,Oligochaeta,DNI
Rissooidea,FALSE,Old nomen,Truncatelloidea,Truncatelloidea,Truncatelloidea,Truncatelloidea
Robackia,FALSE,,DNI,Robackia,Robackia,DNI
Robackia demeijerei,FALSE,,DNI,Robackia,Robackia,DNI
Roederiodes,FALSE,,Roederiodes,Roederiodes,Roederiodes,DNI
Rossiana montana,FALSE,"not known from OR, but WA MT BC",DNI,Rossiana montana,Rossiana montana,DNI
Rossianidae,FALSE,"not known from OR, but WA MT BC ID",DNI,Rossianidae,Rossianidae,DNI
Sabellidae,TRUE,Polychaeta excluded,DNI,DNI,DNI,DNI
Saetheria,FALSE,,DNI,Saetheria,Saetheria,DNI
Salda,TRUE,semiaquatic,DNI,DNI,DNI,DNI
Saldidae,TRUE,semiaquatic,DNI,DNI,DNI,DNI
Saldula,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI
Salmonidae,TRUE,Fish,DNI,DNI,DNI,DNI
Salmoperla sylvanica,FALSE,,DNI,Salmoperla sylvanica,Salmoperla sylvanica,DNI
Sanfilippodytes,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Sanfilippodytes,Sanfilippodytes,Hydroporinae
Sarcophagidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Sarcoptiformes,FALSE,,DNI,Acari,Acari,DNI
Savtshenkia,FALSE,Subgenus of Tipula,Tipula,Tipula,Tipula,Tipula
Scathophagidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Schummelia,TRUE,Subgenus of Tipula,Tipula,Tipula,Tipula,Tipula
Sciaridae,TRUE,Terrestrial,DNI,DNI,DNI,DNI
Sciomyzidae,FALSE,,DNI,Sciomyzidae,Sciomyzidae,DNI
Scirtes,FALSE,,DNI,Scirtidae,Scirtidae,DNI
Scirtidae,FALSE,,DNI,Scirtidae,Scirtidae,DNI
Scleroprocta,FALSE,perhaps mistaken for Ormosia valid,DNI,Limoniidae,Limoniidae,DNI
Sepedon,FALSE,,DNI,Sciomyzidae,Sciomyzidae,DNI
Sergentia,FALSE,,DNI,Sergentia,Sergentia,DNI
Sericostomatidae,FALSE,Gumaga only member of family in west,DNI,Gumaga,Gumaga,DNI
Sericostriata,FALSE,Single species in Genus,DNI,Sericostriata surdickae,Sericostriata surdickae,DNI
Sericostriata surdickae,FALSE,Single species in Genus,DNI,Sericostriata surdickae,Sericostriata surdickae,DNI
Serratella,FALSE,,DNI,Ephemerellidae,Ephemerellidae,DNI
Serratella levis,FALSE,,DNI,Serratella levis,Serratella levis,DNI
Serratella micheneri,FALSE,,DNI,Serratella micheneri,Serratella micheneri,DNI
Serratella teresa,FALSE,Single species in Genus,Matriella teresa,Matriella teresa,Matriella teresa,Matriella teresa
Serratella tibialis,FALSE,S. tibialis was placed in Ephemerella (2008),Ephemerella tibialis,Ephemerella tibialis,Ephemerella tibialis,Ephemerella
