Taxon_Group,Taxon_Orig,Rank,NonTarget,Rationale,source_MPCA,source_RedLake,Notes,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety
,Muscomorpha,SubOrder,FALSE,,MN BCG Access db,,,270,Muscomorpha,Brachycera,,131750,130052,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,,,,,,,
,Musculium,Genus,FALSE,,MN BCG Access db,,,1321,Musculium,Pisidiidae,,81427,81388,Mollusca,,Bivalvia,Heterodonta,Veneroida,,Pisidiidae,,,Musculium,,,
,Mysidae,Family,FALSE,,MN BCG Access db,,,1823,Mysidae,Mysidae,,89856,89855,Arthropoda,Crustacea,Malacostraca,,Mysida,,Mysidae,,,,,,
,Mystacides,Genus,FALSE,,MN BCG Access db,,,1170,Mystacides,Mystacides,,116598,116547,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Mystacidini,Mystacides,,,
,Mystacides sepulchralis,Species,FALSE,,MN BCG Access db,,,1171,Mystacides sepulchralis,Mystacides,,116599,116598,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Mystacidini,Mystacides,,Mystacides sepulchralis,
,Myxosargus,Genus,FALSE,,MN BCG Access db,,,302,Myxosargus,Stratiomyidae,,130473,130472,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Stratiomyidae,Stratiomyinae,Prosopochrysini,Myxosargus,,,
,Naididae,Family,FALSE,,MN BCG Access db,,,36,Naididae,Oligochaeta,,68854,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,,,,
,Nais,Genus,FALSE,,MN BCG Access db,,,40,Nais,Oligochaeta,,198375,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Nais,,,
,Nais (Animalia),Genus,FALSE,,MN BCG Access db,AWQMS_Invert_Data_Export,,40,Nais,Oligochaeta,,198375,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Nais,,,
,Nais barbata,Species,FALSE,,MN BCG Access db,,,1486,Nais barbata,Oligochaeta,,68947,68946,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Nais,,barbata,
,Nais behningi,Species,FALSE,,MN BCG Access db,,,1552,Nais behningi,Oligochaeta,,68949,68946,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Nais,,behningi,
,Nais bretscheri,Species,FALSE,,MN BCG Access db,,,1553,Nais bretscheri,Oligochaeta,,68961,68946,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Nais,,bretscheri,
,Nais communis,Species,FALSE,,MN BCG Access db,,,1487,Nais communis,Oligochaeta,,68950,68946,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Nais,,communis,
,Nais elinguis,Species,FALSE,,MN BCG Access db,,,1591,Nais elinguis,Oligochaeta,,68952,68946,Annelida,,Clitellata,Oligochaeta,Tubificida,,Naididae,,,Nais,,Nais elinguis,
,Nais pardalis,Species,FALSE,,MN BCG Access db,,,1488,Nais pardalis,Oligochaeta,,68954,68946,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Nais,,pardalis,
,Nais simplex,Species,FALSE,,MN BCG Access db,,,1554,Nais simplex,Oligochaeta,,68957,68946,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Nais,,simplex,
,Nais variabilis,Species,FALSE,,MN BCG Access db,,,1555,Nais variabilis,Oligochaeta,,68959,68946,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Nais,,variabilis,
,Nanocladius,Genus,FALSE,,MN BCG Access db,,,511,Nanocladius,Nanocladius,,128844,128457,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Nanocladius,,,
,Nanocladius balticus,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Nanocladius balticus,Nanocladius,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Nanocladius,,Nanocladius balticus,
,Nanocladius distinctus,Species,FALSE,,MN BCG Access db,,,512,Nanocladius distinctus,Nanocladius,,128853,128844,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Nanocladius,,Nanocladius distinctus,
,Nanocladius downesi,Species,FALSE,,MN BCG Access db,,,513,Nanocladius downesi,Nanocladius,,128855,128844,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Nanocladius,,Nanocladius downesi,
,Nasiaeschna,Genus,FALSE,,MN BCG Access db,,,907,Nasiaeschna,Nasiaeschna,,101653,101596,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Nasiaeschna,,,
,Nasiaeschna pentacantha,Species,FALSE,,MN BCG Access db,,,908,Nasiaeschna pentacantha,Nasiaeschna,,101654,101653,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Nasiaeschna,,Nasiaeschna pentacantha,
,Natarsia,Genus,FALSE,,MN BCG Access db,,,562,Natarsia,Natarsia,,128070,128069,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Natarsiini,Natarsia,,,
,Naucoridae,Family,FALSE,,MN BCG Access db,,,856,Naucoridae,Naucoridae,,103613,103358,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Naucoridae,,,,,,
,Nebrioporus,Genus,FALSE,,MN BCG Access db,,,1730,Nebrioporus,Nebrioporus,,112153,728229,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Hydroporini,Nebrioporus,,,
,Nectopsyche,Genus,FALSE,,MN BCG Access db,,,1172,Nectopsyche,Nectopsyche,,116651,116547,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Nectopsychini,Nectopsyche,,,
,Nectopsyche candida,Species,FALSE,,MN BCG Access db,,,1173,Nectopsyche candida,Nectopsyche,,116661,116651,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Nectopsychini,Nectopsyche,,Nectopsyche candida,
,Nectopsyche diarina,Species,FALSE,,MN BCG Access db,,,1174,Nectopsyche diarina,Nectopsyche,,116663,116651,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Nectopsychini,Nectopsyche,,Nectopsyche diarina,
,Nectopsyche exquisita,Species,FALSE,,MN BCG Access db,,,1175,Nectopsyche exquisita,Nectopsyche,,116659,116651,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Nectopsychini,Nectopsyche,,Nectopsyche exquisita,
,Nectopsyche halia,Species,FALSE,,MN BCG Access db,,,1176,Nectopsyche halia,Nectopsyche,,,116651,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,,Nectopsyche,,Nectopsyche halia,
,Nehalennia,Genus,FALSE,,MN BCG Access db,,,1731,Nehalennia,Nehalennia,,102135,102077,Arthropoda,,Insecta,Pterygota,Odonata,Zygoptera,Coenagrionidae,,,Nehalennia,,,
,Nehalennia irene,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Nehalennia irene,Nehalennia,,,,Arthropoda,,Insecta,Pterygota,Odonata,Zygoptera,Coenagrionidae,,,Nehalennia,,Nehalennia irene,
,Nemata,Phylum,FALSE,,MN BCG Access db,,,1395,Nemata,DNI,,563956,202423,Nemata,,,,,,,,,,,,
,Nematocera,SubOrder,FALSE,,MN BCG Access db,,,606,Nematocera,Nematocera,,118832,118831,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Nematocera,,,,,,
,Nematoda,Genus,FALSE,,MN BCG Access db,,,1398,Nematoda,DNI,,59490,202423,Nemata,,,,,,,,,,,,
,Nematomorpha,Phylum,FALSE,,MN BCG Access db,,,1399,Nematomorpha,Nematomorpha,,64183,202423,Nematomorpha,,,,,,,,,,,,
,Nemertea,Phylum,FALSE,,MN BCG Access db,,,1401,Nemertea,Nemertea,,57411,202423,Nemertea,,Enopla,,Hoplonemertea,Monostilifera,Tetrastemmatidae,,,Prostoma,,,
,Nemotaulius,Genus,FALSE,,MN BCG Access db,,,1732,Nemotaulius,Nemotaulius,,116432,568768,Arthropoda,,Insecta,Pterygota,Trichoptera,,Limnephilidae,Limnephilinae,Limnephilini,Nemotaulius,,,
,Nemotaulius hostilis,Species,FALSE,,MN BCG Access db,,,1489,Nemotaulius hostilis,Nemotaulius,,116434,116432,Arthropoda,,Insecta,Pterygota,Trichoptera,,Limnephilidae,,,Nemotaulius,Nemotaulius (Macrotaulius),hostilis,
,Nemotelus,Genus,FALSE,,MN BCG Access db,,,303,Nemotelus,Stratiomyidae,,130694,130685,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Stratiomyidae,Nemotelinae,,NEMOTELUS,,,
,Nemoura,Genus,FALSE,,MN BCG Access db,,,985,Nemoura,Nemouridae,,102526,102517,Arthropoda,,Insecta,Pterygota,Plecoptera,Euholognatha,Nemouridae,Nemourinae,,Nemoura,,,
,Nemoura trispinosa,Species,FALSE,,MN BCG Access db,,,1592,Nemoura trispinosa,Nemouridae,,102535,102526,Arthropoda,,Insecta,Pterygota,Plecoptera,,Nemouridae,Nemourinae,,Nemoura,,Nemoura trispinosa,
,Nemouridae,Family,FALSE,,MN BCG Access db,,,983,Nemouridae,Nemouridae,,102517,102468,Arthropoda,,Insecta,Pterygota,Plecoptera,Euholognatha,Nemouridae,,,,,,
,Neoacaridae,Family,FALSE,,MN BCG Access db,,,113,Neoacaridae,Acari,,82858,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Neoacaridae,,,,,,
,Neobidessus,Genus,FALSE,,MN BCG Access db,,,147,Neobidessus,Neobidessus,,112590,111963,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Bidessini,Neobidessus,,,
,Neocylloepus,Genus,FALSE,,MN BCG Access db,,,159,Neocylloepus,Neocylloepus,,114253,114093,Arthropoda,,Insecta,Pterygota,Coleoptera,,Elmidae,,,Neocylloepus,,,
,Neoelmis,Genus,FALSE,,MN BCG Access db,,,160,Neoelmis,Neoelmis,,114232,114093,Arthropoda,,Insecta,Pterygota,Coleoptera,,Elmidae,,,Neoelmis,,,
,Neoephemera,Genus,FALSE,,MN BCG Access db,,,1788,Neoephemera,Neoephemeridae,,101461,101460,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Neoephemeridae,,,Neoephemera,,,
,Neoephemera purpurea,Species,FALSE,,MN BCG Access db,,,732,Neoephemera purpurea,Neoephemeridae,,101464,101461,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Neoephemeridae,,,Neoephemera,,Neoephemera purpurea,
,Neoephemeridae,Family,FALSE,,MN BCG Access db,,,1824,Neoephemeridae,Neoephemeridae,,101460,101459,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Neoephemeridae,,,,,,
,Neoheterocerus,Genus,FALSE,,MN BCG Access db,,,166,Neoheterocerus,Heteroceridae,,114263,114262,Arthropoda,,Insecta,Pterygota,Coleoptera,,Heteroceridae,,,Neoheterocerus,,,
,Neoperla,Genus,FALSE,,MN BCG Access db,,,1020,Neoperla,Neoperla,,102942,102914,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Neoperlini,Neoperla,,,
,Neoperla harpi,Species,FALSE,,MN BCG Access db,,,1021,Neoperla harpi,Neoperla,,102953,102942,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Neoperlini,Neoperla,,Neoperla harpi,
,Neoperla robisoni,Species,FALSE,,MN BCG Access db,,,1022,Neoperla robisoni,Neoperla,,102949,102942,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Neoperlini,Neoperla,,Neoperla robisoni,
,Neoperla stewarti,Species,FALSE,,MN BCG Access db,,,1733,Neoperla stewarti,Neoperla,,102945,102942,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Neoperlini,Neoperla,,stewarti,
,Neophylax,Genus,FALSE,,MN BCG Access db,,,1227,Neophylax,Uenoidae,,116046,568760,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Uenoidae,Thremmatinae,,Neophylax,,,
,Neophylax concinnus,Species,FALSE,,MN BCG Access db,,,1593,Neophylax concinnus,Neophylax,,116047,116046,Arthropoda,,Insecta,Pterygota,Trichoptera,,Limnephilidae,Thremmatinae,,Neophylax,,Neophylax concinnus,
,Neophylax consimilis,Species,FALSE,,MN BCG Access db,,,1228,Neophylax consimilis,Uenoidae,,116058,116046,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Uenoidae,Thremmatinae,,Neophylax,,Neophylax consimilis,
,Neophylax fuscus,Species,FALSE,,MN BCG Access db,,,1229,Neophylax fuscus,Uenoidae,,116049,116046,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Uenoidae,Thremmatinae,,Neophylax,,Neophylax fuscus,
,Neophylax mitchelli,Species,FALSE,,MN BCG Access db,,,1230,Neophylax mitchelli,Uenoidae,,116050,116046,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Uenoidae,Thremmatinae,,Neophylax,,Neophylax mitchelli,
,Neophylax oligius,Species,FALSE,,MN BCG Access db,,,1231,Neophylax oligius,Uenoidae,,116057,116046,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Uenoidae,Thremmatinae,,Neophylax,,Neophylax oligius,
,Neoplasta,Genus,FALSE,,MN BCG Access db,,,283,Neoplasta,Neoplasta,,136352,136304,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Empididae,Hemerodromiinae,Hemerodromiini,Neoplasta,,,
,Neoplea,Genus,FALSE,,MN BCG Access db,,,835,Neoplea,Pleidae,,103603,103602,Arthropoda,,Insecta,Pterygota,Hemiptera,,Pleidae,,,Neoplea,,,
,Neoplea striola,Species,FALSE,,MN BCG Access db,,,1734,Neoplea striola,Pleidae,,103604,103603,Arthropoda,,Insecta,Pterygota,Hemiptera,,Pleidae,,,Neoplea,,striola,
,Neoporus,Genus,FALSE,,MN BCG Access db,,,181,Neoporus,Neoporus,,728252,728229,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Hydroporini,Neoporus,,,
,Neoporus dimidiatus,Species,FALSE,,MN BCG Access db,,,1639,Neoporus dimidiatus,Neoporus,,728416,728252,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Hydroporini,Neoporus,,dimidiatus,
,Neoporus undulatus,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Neoporus undulatus,Neoporus,,,,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Hydroporini,Neoporus,,Neoporus undulatus,
,Neoporus vittatus,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Neoporus vittatus,Neoporus,,,,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,Dytiscidae,Hydroporinae,Hydroporini,Neoporus,,Neoporus vittatus,
,Neostempellina,Tribe,FALSE,,MN BCG Access db,,,420,Neostempellina,Neostempellina,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Tanytarsini,,,,
,Neotrichia,Genus,FALSE,,MN BCG Access db,,,1267,Neotrichia,Neotrichia,,115833,115629,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptilidae,Hydroptilinae,Neotrichiini,Neotrichia,,,
,Neozavrelia,Genus,FALSE,,MN BCG Access db,,,428,Neozavrelia,Neozavrelia,,130042,128457,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Tanytarsini,Neozavrelia,,,
,Nepa,Genus,FALSE,,MN BCG Access db,,,1735,Nepa,Nepidae,,103765,717621,Arthropoda,,Insecta,Pterygota,Hemiptera,,Nepidae,Nepinae,,Nepa,,,
,Nepa apiculata,Species,FALSE,,MN BCG Access db,,,1736,Nepa apiculata,Nepidae,,103766,103765,Arthropoda,,Insecta,Pterygota,Hemiptera,,Nepidae,Nepinae,,Nepa,,apiculata,
,Nephelopsis,Genus,FALSE,,MN BCG Access db,,,8,Nephelopsis,Hirudinea,,69455,568847,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Nephelopsis,,,
,Nephelopsis obscura,Species,FALSE,,MN BCG Access db,,,1737,Nephelopsis obscura,Hirudinea,,69456,69455,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,,Erpobdellidae,Erpobdellinae,,Nephelopsis,,obscura,
,Nepidae,Family,FALSE,,MN BCG Access db,,,1825,Nepidae,Nepidae,,103747,103358,Arthropoda,,Insecta,Pterygota,Hemiptera,,Nepidae,,,,,,
,Nepticula,Genus,FALSE,,MN BCG Access db,,,1738,Nepticula,Nepticulidae,,118746,694278,Arthropoda,,Insecta,Pterygota,Lepidoptera,,Nepticulidae,Nepticulinae,Nepticulini,Nepticula,,,
,Nepticulidae,Family,FALSE,,MN BCG Access db,,,870,Nepticulidae,Nepticulidae,,118745,118744,Arthropoda,,Insecta,Pterygota,Lepidoptera,,Nepticulidae,,,,,,
,Neumania,Genus,FALSE,,MN BCG Access db,,,124,Neumania,Acari,,83103,83072,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Unionicolidae,,,Neumania,,,
,Neureclipsis,Genus,FALSE,,MN BCG Access db,,,1129,Neureclipsis,Neureclipsis,,117095,117043,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Polycentropodidae,Polycentropodinae,,Neureclipsis,,,
,Neurocordulia,Genus,FALSE,,MN BCG Access db,,,917,Neurocordulia,Neurocordulia,,101934,101797,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Corduliinae,,Neurocordulia,,,
,Neurocordulia yamaskanensis,Species,FALSE,,MN BCG Access db,,,1739,Neurocordulia yamaskanensis,Neurocordulia,,101937,101934,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Corduliinae,,Neurocordulia,,yamaskanensis,
,Nigronia,Genus,FALSE,,MN BCG Access db,,,885,Nigronia,Nigronia,,115028,115023,Arthropoda,,Insecta,Pterygota,Megaloptera,,Corydalidae,Chauliodinae,,Nigronia,,,
,Nigronia fasciatus,Species,FALSE,,MN BCG Access db,,,886,Nigronia fasciatus,Nigronia,,115029,115028,Arthropoda,,Insecta,Pterygota,Megaloptera,,Corydalidae,Chauliodinae,,Nigronia,,Nigronia fasciatus,
,Nigronia serricornis,Species,FALSE,,MN BCG Access db,,,887,Nigronia serricornis,Nigronia,,115031,115028,Arthropoda,,Insecta,Pterygota,Megaloptera,,Corydalidae,Chauliodinae,,Nigronia,,Nigronia serricornis,
,Nilobezzia,Genus,FALSE,,MN BCG Access db,,,335,Nilobezzia,Nilobezzia,,127720,127683,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,Sphaeromiini,Nilobezzia,,,
,Nilotanypus,Genus,FALSE,,MN BCG Access db,,,580,Nilotanypus,Nilotanypus,,128202,128078,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Nilotanypus,,,
,Nilotanypus fimbriatus,Species,FALSE,,MN BCG Access db,,,581,Nilotanypus fimbriatus,Nilotanypus,,128203,128202,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Tanypodinae,Pentaneurini,Nilotanypus,,Nilotanypus fimbriatus,
,Nilothauma,Genus,FALSE,,MN BCG Access db,,,376,Nilothauma,Nilothauma,,129548,129229,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Nilothauma,,,
,Nimbocera,Genus,FALSE,,MN BCG Access db,,,429,Nimbocera,Nimbocera,,129932,129872,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Tanytarsini,Nimbocera,,,
,Nixe,Genus,FALSE,,MN BCG Access db,,,802,Nixe,Nixe,,100692,100504,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Nixe,,,
,Nixe lucidipennis,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Nixe lucidipennis,Nixe,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Nixe,,Nixe lucidipennis,
,Noctuidae,Family,FALSE,,MN BCG Access db,,,871,Noctuidae,Noctuidae,,117318,117294,Arthropoda,,Insecta,Pterygota,Lepidoptera,,Noctuidae,,,,,,
,Noteridae,Family,FALSE,,MN BCG Access db,,,1826,Noteridae,Noteridae,,112606,109226,Arthropoda,,Insecta,Pterygota,Coleoptera,Adephaga,Noteridae,,,,,,
,Notonecta,Genus,FALSE,,MN BCG Access db,,,860,Notonecta,Notonectidae,,103558,103557,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Notonectidae,Notonectinae,Notonectini,Notonecta,,,
,Notonecta lunata,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Notonecta lunata,Notonectidae,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Notonectidae,Notonectinae,Notonectini,Notonecta,,Notonecta lunata,
,Notonecta undulata,Species,FALSE,,,AWQMS_Invert_Data_Export,,,Notonecta undulata,Notonectidae,,,,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Notonectidae,Notonectinae,Notonectini,Notonecta,,Notonecta undulata,
,Notonectidae,Family,FALSE,,MN BCG Access db,,,1740,Notonectidae,Notonectidae,,103557,676836,Arthropoda,,Insecta,Pterygota,Hemiptera,Heteroptera,Notonectidae,,,,,,
,Nyctiophylax,Genus,FALSE,,MN BCG Access db,,,1125,Nyctiophylax,Nyctiophylax,,117104,117043,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Annulipalpia,Polycentropodidae,Polycentropodinae,,Nyctiophylax,,,
,Nyctiophylax (Paranyctiophylax),SubGenus,FALSE,,MN BCG Access db,,,1544,Nyctiophylax (Paranyctiophylax),Nyctiophylax,,568780,117104,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Annulipalpia,Polycentropodidae,Polycentropodinae,,Nyctiophylax,Paranyctiophylax,,
,Nyctiophylax celta,Species,FALSE,,MN BCG Access db,,,1126,Nyctiophylax celta,Nyctiophylax,,117107,117104,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Annulipalpia,Polycentropodidae,Polycentropodinae,,Nyctiophylax,Nyctiophylax (Paranyctiophylax),celta,
,Nymphula,Genus,FALSE,,MN BCG Access db,,,1741,Nymphula,Nymphula,,117659,694284,Arthropoda,,Insecta,Pterygota,Lepidoptera,,Pyralidae,Nymphulinae,Nymphulini,Nymphula,,,
,Nymphuliella,Genus,FALSE,,MN BCG Access db,,,875,Nymphuliella,Nymphuliella,,117758,117641,Arthropoda,,Insecta,Pterygota,Lepidoptera,Microlepidoptera,Pyralidae,Nymphulinae,Nymphulini,Nymphuliella,,,
,Ochrotrichia,Genus,FALSE,,MN BCG Access db,,,1268,Ochrotrichia,Ochrotrichia,,115714,115629,Arthropoda,,Insecta,Pterygota,Trichoptera,Spicipalpia,Hydroptilidae,Hydroptilinae,Ochrotrichiini,Ochrotrichia,,,
,Ochthebius,Genus,FALSE,,MN BCG Access db,,,242,Ochthebius,Ochthebius,,112777,112756,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Hydraenidae,,,Ochthebius,,,
,Ochthera,Genus,FALSE,,MN BCG Access db,,,293,Ochthera,Ephydridae,,147360,147359,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Ephydridae,Parydrinae,Ochtherini,Ochthera,,,
,Ochthera empiformis,Species,FALSE,,MN BCG Access db,,,294,Ochthera empiformis,Ephydridae,,136334,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Ephydridae,,Ochtherini,Ochthera,,Ochthera empiformis,
,Octogomphus,Genus,FALSE,,MN BCG Access db,,,937,Octogomphus,Octogomphus,,101736,101664,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,Octogomphus,,,
,Odonata,Order,FALSE,,MN BCG Access db,,,972,Odonata,DNI,,101593,563889,Arthropoda,,Insecta,Pterygota,Odonata,,,,,,,,
,Odontoceridae,Family,FALSE,,MN BCG Access db,,,1209,Odontoceridae,DNI,,116496,115095,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Odontoceridae,,,,,,
,Odontomesa,Genus,FALSE,,MN BCG Access db,,,546,Odontomesa,Odontomesa,,128446,128437,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Prodiamesinae,,Odontomesa,,,
,Odontomesa fulva,Species,FALSE,,MN BCG Access db,,,547,Odontomesa fulva,Odontomesa,,128447,128446,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Prodiamesinae,,Odontomesa,,Odontomesa fulva,
,Odontomyia,Genus,FALSE,,MN BCG Access db,,,306,Odontomyia,Stratiomyidae,,130573,130483,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Stratiomyidae,Stratiomyinae,Stratiomyini,Odontomyia,,,
,Oecetis,Genus,FALSE,,MN BCG Access db,,,1184,Oecetis,Oecetis,,116607,555650,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Oecetini,Oecetis,,,
,Oecetis avara,Species,FALSE,,MN BCG Access db,,,1185,Oecetis avara,Oecetis,,116608,116607,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Oecetini,Oecetis,,Oecetis avara,
,Oecetis disjuncta,Species,FALSE,,MN BCG Access db,,,1594,Oecetis disjuncta,Oecetis,,116641,116607,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Oecetini,Oecetis,,disjuncta,
,Oecetis georgia/persimilis,Species,FALSE,,MN BCG Access db,,,1186,Oecetis georgia/persimilis,Oecetis,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Oecetini,Oecetis,,Oecetis georgia/persimilis,
,Oecetis immobilis,Species,FALSE,,MN BCG Access db,,,1187,Oecetis immobilis,Oecetis,,116644,116607,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Oecetini,Oecetis,,Oecetis immobilis,
,Oecetis inconspicua,Species,FALSE,,MN BCG Access db,,,1188,Oecetis inconspicua,Oecetis,,116613,116607,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Oecetini,Oecetis,,Oecetis inconspicua,
,Oecetis morsei,Species,FALSE,,MN BCG Access db,,,1189,Oecetis morsei,Oecetis,,603184,116607,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceridae,Leptocerinae,Oecetini,Oecetis,,Oecetis morsei,
