TAXON,NonTarget,FFG,Habit,Life_Cycle,Thermal_indicator,Rank,Taxon_Group,Plot_Label,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,Genus,Species,GenusGroup_TolAnal,GenusSlash_TolAnal,SubGenus_TolAnal,SpeciesGroup_TolAnal,SpeciesSubGroup_TolAnal,SpeciesComplex _TolAnal,SpeciesSlash_TolAnal,Species_TolAnal
HYDROPORUS DENTELLUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS DENTELLUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,DENTELLUS,,,,,,,,HYDROPORUS DENTELLUS
HYDROPORUS DESPECTUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS DESPECTUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,DESPECTUS,,,,,,,,HYDROPORUS DESPECTUS
HYDROPORUS DICHROUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS DICHROUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,DICHROUS,,,,,,,,HYDROPORUS DICHROUS
HYDROPORUS FUSCIPENNIS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS FUSCIPENNIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,FUSCIPENNIS,,,,,,,,HYDROPORUS FUSCIPENNIS
HYDROPORUS HYBRIDUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS HYBRIDUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,HYBRIDUS,,,,,,,,HYDROPORUS HYBRIDUS
HYDROPORUS LARSONI,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS LARSONI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,LARSONI,,,,,,,,HYDROPORUS LARSONI
HYDROPORUS MELLITUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS MELLITUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,MELLITUS,,,,,,,,HYDROPORUS MELLITUS
HYDROPORUS MELSHEIMERI,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS MELSHEIMERI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,MELSHEIMERI,,,,,,,,HYDROPORUS MELSHEIMERI
HYDROPORUS MORIO,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS MORIO,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,MORIO,,,,,,,,HYDROPORUS MORIO
HYDROPORUS NIGELLUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS NIGELLUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,NIGELLUS,,,,,,,,HYDROPORUS NIGELLUS
HYDROPORUS NIGER,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS NIGER,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,NIGER,,,,,,,,HYDROPORUS NIGER
HYDROPORUS NOTABILIS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS NOTABILIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,NOTABILIS,,,,,,,,HYDROPORUS NOTABILIS
HYDROPORUS OBSCURUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS OBSCURUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,OBSCURUS,,,,,,,,HYDROPORUS OBSCURUS
HYDROPORUS OUACHITUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS OUACHITUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,OUACHITUS,,,,,,,,HYDROPORUS OUACHITUS
HYDROPORUS PAUGUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS PAUGUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,PAUGUS,,,,,,,,HYDROPORUS PAUGUS
HYDROPORUS PSEUDOVILIS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS PSEUDOVILIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,PSEUDOVILIS,,,,,,,,HYDROPORUS PSEUDOVILIS
HYDROPORUS PUBERULUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS PUBERULUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,PUBERULUS,,,,,,,,HYDROPORUS PUBERULUS
HYDROPORUS PULCHER,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS PULCHER,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,PULCHER,,,,,,,,HYDROPORUS PULCHER
HYDROPORUS RECTUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS RECTUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,RECTUS,,,,,,,,HYDROPORUS RECTUS
HYDROPORUS RUFILABRIS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS RUFILABRIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,RUFILABRIS,,,,,,,,HYDROPORUS RUFILABRIS
HYDROPORUS RUFINASUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS RUFINASUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,RUFINASUS,,,,,,,,HYDROPORUS RUFINASUS
HYDROPORUS SEMIFLAVUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS SEMIFLAVUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,SEMIFLAVUS,,,,,,,,HYDROPORUS SEMIFLAVUS
HYDROPORUS SIGNATUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS SIGNATUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,SIGNATUS,,,,,,,,HYDROPORUS SIGNATUS
HYDROPORUS SOLITARIUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS SOLITARIUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,SOLITARIUS,,,,,,,,HYDROPORUS SOLITARIUS
HYDROPORUS STAGNALIS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS STAGNALIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,STAGNALIS,,,,,,,,HYDROPORUS STAGNALIS
HYDROPORUS STRIOLA,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS STRIOLA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,STRIOLA,,,,,,,,HYDROPORUS STRIOLA
HYDROPORUS SUPERIORIS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS SUPERIORIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,SUPERIORIS,,,,,,,,HYDROPORUS SUPERIORIS
HYDROPORUS TARTARICUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS TARTARICUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,TARTARICUS,,,,,,,,HYDROPORUS TARTARICUS
HYDROPORUS TENEBROSUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS TENEBROSUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,TENEBROSUS,,,,,,,,HYDROPORUS TENEBROSUS
HYDROPORUS TRISTIS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS TRISTIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,TRISTIS,,,,,,,,HYDROPORUS TRISTIS
HYDROPORUS VITTATUS,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS VITTATUS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,VITTATUS,,,,,,,,HYDROPORUS VITTATUS
HYDROPORUS WICKHAMI,FALSE,PR,SW,,,Species,COLEOPTERA,DYTISCIDAE-HYDROPORUS WICKHAMI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,COLEOPTERA,ADEPHAGA,,DYTISCIDAE,HYDROPORINAE,HYDROPORINI,HYDROPORUS,WICKHAMI,,,,,,,,HYDROPORUS WICKHAMI
HYDROPSYCHE,FALSE,"CF,PR",CN,uni,,Genus,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,,,,,,,,,
HYDROPSYCHE AENIGMA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE AENIGMA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,AENIGMA,,,,HYDROPSYCHE MOROSA GROUP,,,,HYDROPSYCHE AENIGMA
HYDROPSYCHE AERATA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE AERATA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,AERATA,,,,,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE AERATA
HYDROPSYCHE ALHEDRA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE ALHEDRA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,ALHEDRA,,,,HYDROPSYCHE MOROSA GROUP,,,,HYDROPSYCHE ALHEDRA
HYDROPSYCHE ALTERNANS,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE ALTERNANS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,ALTERNANS,,,,HYDROPSYCHE MOROSA GROUP,,,,HYDROPSYCHE ALTERNANS
HYDROPSYCHE ALVATA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE ALVATA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,ALVATA,,,,HYDROPSYCHE MOROSA GROUP,,,,HYDROPSYCHE ALVATA
HYDROPSYCHE ARINALE,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE ARINALE,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,ARINALE,,,,,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE ARINALE
HYDROPSYCHE BETTENI,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE BETTENI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,BETTENI,,,,,HYDROPSYCHE DEPRAVATA GROUP,,,HYDROPSYCHE BETTENI
HYDROPSYCHE BIDENS,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE BIDENS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,BIDENS,,,,,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE BIDENS
HYDROPSYCHE BIFIDA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE BIFIDA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,BIFIDA,,,,HYDROPSYCHE MOROSA GROUP,,,,HYDROPSYCHE BIFIDA
HYDROPSYCHE BRONTA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE BRONTA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,BRONTA,,,,HYDROPSYCHE MOROSA GROUP,,,,HYDROPSYCHE BRONTA
HYDROPSYCHE CHEILONIS,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE CHEILONIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,CHEILONIS,,,,HYDROPSYCHE MOROSA GROUP,,,,HYDROPSYCHE CHEILONIS
HYDROPSYCHE CONFUSA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE CONFUSA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,CONFUSA,,,,HYDROPSYCHE MOROSA GROUP,,,,HYDROPSYCHE CONFUSA
HYDROPSYCHE CUANIS,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE CUANIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,CUANIS,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE CUANIS GROUP,,,HYDROPSYCHE CUANIS
HYDROPSYCHE CUANIS GROUP,FALSE,"CF,PR",CN,uni,,SpeciesSubGroup,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE CUANIS GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE CUANIS GROUP,,,
HYDROPSYCHE DECALDA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE DECALDA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,DECALDA,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE DEPRAVATA GROUP,,,HYDROPSYCHE DECALDA
HYDROPSYCHE DEMORA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE DEMORA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,DEMORA,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE DEMORA
HYDROPSYCHE DEPRAVATA GROUP,FALSE,"CF,PR",CN,uni,,SpeciesSubGroup,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE DEPRAVATA GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE DEPRAVATA GROUP,,,
HYDROPSYCHE DICANTHA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE DICANTHA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,DICANTHA,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE DICANTHA
HYDROPSYCHE ELISSOMA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE ELISSOMA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,ELISSOMA,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE DEPRAVATA GROUP,,,HYDROPSYCHE ELISSOMA
HYDROPSYCHE FRISONI,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE FRISONI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,FRISONI,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE FRISONI
HYDROPSYCHE HAGENI,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE HAGENI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,HAGENI,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE HAGENI
HYDROPSYCHE HOFFMANI,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE HOFFMANI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,HOFFMANI,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE HOFFMANI
HYDROPSYCHE INCOMMODA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE INCOMMODA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,INCOMMODA,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE INCOMMODA
HYDROPSYCHE INSTABILIS GROUP,FALSE,"CF,PR",CN,uni,,SpeciesGroup,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE INSTABILIS GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,,,,,HYDROPSYCHE INSTABILIS GROUP,,,,
HYDROPSYCHE LEONARDI,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE LEONARDI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,LEONARDI,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE LEONARDI
HYDROPSYCHE MACLEODI,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE MACLEODI,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,MACLEODI,,,,HYDROPSYCHE MOROSA GROUP,,,,HYDROPSYCHE MACLEODI
HYDROPSYCHE MISSISSIPPIENSIS,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE MISSISSIPPIENSIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,MISSISSIPPIENSIS,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE MISSISSIPPIENSIS
HYDROPSYCHE MOROSA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE MOROSA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,MOROSA,,,,HYDROPSYCHE MOROSA GROUP,,,,HYDROPSYCHE MOROSA
HYDROPSYCHE MOROSA GROUP,FALSE,"CF,PR",CN,uni,,SpeciesGroup,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE MOROSA GROUP,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,,,,,HYDROPSYCHE MOROSA GROUP,,,,
HYDROPSYCHE ORRIS,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE ORRIS,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,ORRIS,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE ORRIS
HYDROPSYCHE PHALERATA,FALSE,"CF,PR",CN,uni,,Species,TRICHOPTERA,HYDROPSYCHIDAE-HYDROPSYCHE PHALERATA,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,TRICHOPTERA,,,HYDROPSYCHIDAE,HYDROPSYCHINAE,,HYDROPSYCHE,PHALERATA,,,,HYDROPSYCHE INSTABILIS GROUP,HYDROPSYCHE SCALARIS GROUP,,,HYDROPSYCHE PHALERATA
