Taxon_Orig,OTU_TolAnal_v1,OTU_Regional_2025,Monotypic,Notes
HYDROPERLA FUGITANS,HYDROPERLA,HYDROPERLA,,
HYDROPHILIDAE,HYDROPHILIDAE,HYDROPHILIDAE,,
Hydrophilidae (total),HYDROPHILIDAE,HYDROPHILIDAE,,
Hydrophillidae,HYDROPHILIDAE,HYDROPHILIDAE,,
HYDROPHILUS,HYDROPHILUS,HYDROPHILUS,,
HYDROPHILUS (DIBOLOCELUS),HYDROPHILUS (DIBOLOCELUS),HYDROPHILUS,,
HYDROPHILUS (DIBOLOCELUS) OVATUS,HYDROPHILUS OVATUS,HYDROPHILUS,,
HYDROPHILUS (HYDROPHILUS),HYDROPHILUS (HYDROPHILUS),HYDROPHILUS,,
HYDROPHILUS (HYDROPHILUS) TRIANGULARIS,HYDROPHILUS TRIANGULARIS,HYDROPHILUS,,
Hydrophilus mixtus,TROPISTERNUS MIXTUS,TROPISTERNUS,,
HYDROPHILUS OVATUS,HYDROPHILUS OVATUS,HYDROPHILUS,,
Hydrophilus sp,HYDROPHILUS,HYDROPHILUS,,
HYDROPHILUS TRIANGULARIS,HYDROPHILUS TRIANGULARIS,HYDROPHILUS,,
Hydrophorus,DOLICHOPODIDAE,DOLICHOPODIDAE,,
Hydrophorus sp,DOLICHOPODIDAE,DOLICHOPODIDAE,,
Hydroporinae,HYDROPORINAE,HYDROPORINAE,,
Hydroporini,HYDROPORINAE,HYDROPORINAE,,
HYDROPORUS,HYDROPORUS,HYDROPORUS,,
HYDROPORUS AMERICANUS,HYDROPORUS AMERICANUS,HYDROPORUS,,
HYDROPORUS BADIELLUS,HYDROPORUS BADIELLUS,HYDROPORUS,,
HYDROPORUS BREVICORNIS,HYDROPORUS BREVICORNIS,HYDROPORUS,,
HYDROPORUS CLYPEALIS,HYDROPORUS CLYPEALIS,HYDROPORUS,,
HYDROPORUS COLUMBIANUS,HYDROPORUS COLUMBIANUS,HYDROPORUS,,
Hydroporus dentellus,HYDROPORUS DENTELLUS,HYDROPORUS,,
Hydroporus dentellus (Fall),HYDROPORUS DENTELLUS,HYDROPORUS,,
Hydroporus dentellus Fall,HYDROPORUS DENTELLUS,HYDROPORUS,,
HYDROPORUS DESPECTUS,HYDROPORUS DESPECTUS,HYDROPORUS,,
Hydroporus dichrous,HYDROPORUS DICHROUS,HYDROPORUS,,
Hydroporus fuscipennis,HYDROPORUS FUSCIPENNIS,HYDROPORUS,,
HYDROPORUS HYBRIDUS,HYDROPORUS HYBRIDUS,HYDROPORUS,,
HYDROPORUS LARSONI,HYDROPORUS LARSONI,HYDROPORUS,,
HYDROPORUS MELLITUS,HYDROPORUS MELLITUS,HYDROPORUS,,
HYDROPORUS MELSHEIMERI,HYDROPORUS MELSHEIMERI,HYDROPORUS,,
HYDROPORUS MORIO,HYDROPORUS MORIO,HYDROPORUS,,
Hydroporus nigellus,HYDROPORUS NIGELLUS,HYDROPORUS,,
Hydroporus nigellus/tartaricus,HYDROPORUS,HYDROPORUS,,
Hydroporus niger,HYDROPORUS NIGER,HYDROPORUS,,
Hydroporus niger (Say),HYDROPORUS NIGER,HYDROPORUS,,
Hydroporus niger Say,HYDROPORUS NIGER,HYDROPORUS,,
HYDROPORUS NOTABILIS,HYDROPORUS NOTABILIS,HYDROPORUS,,
Hydroporus notabilis LeConte,HYDROPORUS NOTABILIS,HYDROPORUS,,
HYDROPORUS OBSCURUS,HYDROPORUS OBSCURUS,HYDROPORUS,,
Hydroporus ouachitus,HYDROPORUS OUACHITUS,HYDROPORUS,,
HYDROPORUS PAUGUS,HYDROPORUS PAUGUS,HYDROPORUS,,
HYDROPORUS PSEUDOVILIS,HYDROPORUS PSEUDOVILIS,HYDROPORUS,,
HYDROPORUS PUBERULUS,HYDROPORUS PUBERULUS,HYDROPORUS,,
HYDROPORUS PULCHER,HYDROPORUS PULCHER,HYDROPORUS,,
HYDROPORUS RECTUS,HYDROPORUS RECTUS,HYDROPORUS,,
HYDROPORUS RUFILABRIS,HYDROPORUS RUFILABRIS,HYDROPORUS,,
Hydroporus rufinasus,HYDROPORUS RUFINASUS,HYDROPORUS,,
HYDROPORUS SEMIFLAVUS,HYDROPORUS SEMIFLAVUS,HYDROPORUS,,
Hydroporus signatus,HYDROPORUS SIGNATUS,HYDROPORUS,,
HYDROPORUS SOLITARIUS,HYDROPORUS SOLITARIUS,HYDROPORUS,,
Hydroporus sp.,HYDROPORUS,HYDROPORUS,,
HYDROPORUS STAGNALIS,HYDROPORUS STAGNALIS,HYDROPORUS,,
HYDROPORUS STRIOLA,HYDROPORUS STRIOLA,HYDROPORUS,,
HYDROPORUS SUPERIORIS,HYDROPORUS SUPERIORIS,HYDROPORUS,,
HYDROPORUS TARTARICUS,HYDROPORUS TARTARICUS,HYDROPORUS,,
HYDROPORUS TENEBROSUS,HYDROPORUS TENEBROSUS,HYDROPORUS,,
Hydroporus tristis,HYDROPORUS TRISTIS,HYDROPORUS,,
HYDROPORUS VITTATUS,HYDROPORUS VITTATUS,HYDROPORUS,,
HYDROPORUS WICKHAMI,HYDROPORUS WICKHAMI,HYDROPORUS,,
Hydroporus/Hygrotus,HYDROPORINAE,HYDROPORINAE,,
HYDROPSYCE MOROSA-GROUP,HYDROPSYCHE MOROSA GROUP,HYDROPSYCHE MOROSA GROUP,,
HYDROPSYCHE,HYDROPSYCHE,HYDROPSYCHE,,
Hydropsyche (=Ceratopsyche) alternans,HYDROPSYCHE ALTERNANS,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche (=Ceratopsyche) bronta,HYDROPSYCHE BRONTA,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche (=Ceratopsyche) morosa,HYDROPSYCHE MOROSA,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche (=Ceratopsyche) morosa group,HYDROPSYCHE MOROSA GROUP,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche (=Ceratopsyche) slossonae,HYDROPSYCHE SLOSSONAE,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche (=Ceratopsyche) sp,HYDROPSYCHE MOROSA GROUP,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche (=Ceratopsyche) sparna,HYDROPSYCHE SPARNA,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche (=Ceratopsyche) ventura,HYDROPSYCHE VENTURA,HYDROPSYCHE MOROSA GROUP,,
HYDROPSYCHE AENIGMA,HYDROPSYCHE AENIGMA,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche aerata,HYDROPSYCHE AERATA,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche alhedra,HYDROPSYCHE ALHEDRA,HYDROPSYCHE MOROSA GROUP,,
HYDROPSYCHE ALTERNANS,HYDROPSYCHE ALTERNANS,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche alvata,HYDROPSYCHE ALVATA,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche arinale,HYDROPSYCHE ARINALE,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche betteni,HYDROPSYCHE BETTENI,HYDROPSYCHE DEPRAVATA GROUP,,
Hydropsyche betteni grp,HYDROPSYCHE BETTENI,HYDROPSYCHE DEPRAVATA GROUP,,
Hydropsyche betteni/depravata,HYDROPSYCHE BETTENI,HYDROPSYCHE DEPRAVATA GROUP,,
Hydropsyche bettenis,HYDROPSYCHE BETTENI,HYDROPSYCHE DEPRAVATA GROUP,,
Hydropsyche bettteni Ross,HYDROPSYCHE BETTENI,HYDROPSYCHE DEPRAVATA GROUP,,
HYDROPSYCHE BIDENS,HYDROPSYCHE BIDENS,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche bidens grp,HYDROPSYCHE SCALARIS GROUP,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche bidens or H. orris,HYDROPSYCHE SCALARIS GROUP,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche bidens/orris,HYDROPSYCHE SCALARIS GROUP,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche bifida,HYDROPSYCHE BIFIDA,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche bronta,HYDROPSYCHE BRONTA,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche cheilonis,HYDROPSYCHE CHEILONIS,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche confusa,HYDROPSYCHE CONFUSA,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche cuanis,HYDROPSYCHE CUANIS,HYDROPSYCHE CUANIS,,
HYDROPSYCHE CUANIS GROUP,HYDROPSYCHE CUANIS,HYDROPSYCHE CUANIS,,
Hydropsyche decalda,HYDROPSYCHE DECALDA,HYDROPSYCHE DEPRAVATA GROUP,,
Hydropsyche demora,HYDROPSYCHE DEMORA,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche depravata,HYDROPSYCHE DEPRAVATA GROUP,HYDROPSYCHE DEPRAVATA GROUP,,
HYDROPSYCHE DEPRAVATA COMPLEX,HYDROPSYCHE DEPRAVATA GROUP,HYDROPSYCHE DEPRAVATA GROUP,,
Hydropsyche Depravata Gr.,HYDROPSYCHE DEPRAVATA GROUP,HYDROPSYCHE DEPRAVATA GROUP,,
Hydropsyche depravata group,HYDROPSYCHE DEPRAVATA GROUP,HYDROPSYCHE DEPRAVATA GROUP,,
Hydropsyche dicantha,HYDROPSYCHE DICANTHA,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche elissoma,HYDROPSYCHE ELISSOMA,HYDROPSYCHE DEPRAVATA GROUP,,
Hydropsyche frisoni,HYDROPSYCHE FRISONI,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche frisoni or H. valanis,HYDROPSYCHE SCALARIS GROUP,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche hageni,HYDROPSYCHE HAGENI,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche hoffmani,HYDROPSYCHE HOFFMANI,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche incommoda,HYDROPSYCHE INCOMMODA,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche leonardi,HYDROPSYCHE LEONARDI,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche macleodi,HYDROPSYCHE MACLEODI,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche mississippiensis,HYDROPSYCHE MISSISSIPPIENSIS,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche morosa,HYDROPSYCHE MOROSA,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche Morosa Gr.,HYDROPSYCHE MOROSA GROUP,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche morosa group,HYDROPSYCHE MOROSA GROUP,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche morosa Hagen,HYDROPSYCHE MOROSA,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche occipitalis,HYDROPSYCHE,HYDROPSYCHE,,
Hydropsyche or Hydropsyche (=Ceratopsyche) sp,HYDROPSYCHIDAE,HYDROPSYCHIDAE,,
Hydropsyche orris,HYDROPSYCHE ORRIS,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche phalerata,HYDROPSYCHE PHALERATA,HYDROPSYCHE SCALARIS GROUP,,
HYDROPSYCHE PIATRIX,HYDROPSYCHE PIATRIX,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche placoda,HYDROPSYCHE PLACODA,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche placoda/scalaris,HYDROPSYCHE SCALARIS GROUP,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche rossi,HYDROPSYCHE ROSSI,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche rossi/simulans,HYDROPSYCHE SCALARIS GROUP,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche scalaris,HYDROPSYCHE SCALARIS,HYDROPSYCHE SCALARIS GROUP,,
HYDROPSYCHE SCALARIS GROUP,HYDROPSYCHE SCALARIS GROUP,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche simulans,HYDROPSYCHE SIMULANS,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche slossonae,HYDROPSYCHE SLOSSONAE,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche sp,HYDROPSYCHE,HYDROPSYCHE,,
Hydropsyche sp.,HYDROPSYCHE,HYDROPSYCHE,,
Hydropsyche sp. (bronta),HYDROPSYCHE BRONTA,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche sp. (morosa Hagen),HYDROPSYCHE MOROSA,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche sp. (slossonae),HYDROPSYCHE SLOSSONAE,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche sparna,HYDROPSYCHE SPARNA,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche spp (morosa & slossonae),HYDROPSYCHE MOROSA GROUP,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche spp.,HYDROPSYCHE,HYDROPSYCHE,,
Hydropsyche valanis,HYDROPSYCHE VALANIS,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche ventura,HYDROPSYCHE VENTURA,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche venularis,HYDROPSYCHE VENULARIS,HYDROPSYCHE SCALARIS GROUP,,
Hydropsyche vexa,HYDROPSYCHE VEXA,HYDROPSYCHE MOROSA GROUP,,
HYDROPSYCHE WALKERI,HYDROPSYCHE WALKERI,HYDROPSYCHE MOROSA GROUP,,
Hydropsyche/Ceratopsyche,HYDROPSYCHIDAE,HYDROPSYCHIDAE,,
HYDROPSYCHIDAE,HYDROPSYCHIDAE,HYDROPSYCHIDAE,,
Hydropsychidae small larvae,HYDROPSYCHIDAE,HYDROPSYCHIDAE,,
Hydropsychinae,HYDROPSYCHINAE,HYDROPSYCHINAE,,
HYDROPTILA,HYDROPTILA,HYDROPTILA,,
HYDROPTILA AJAX,HYDROPTILA,HYDROPTILA,,
HYDROPTILA ALBICORNIS,HYDROPTILA,HYDROPTILA,,
HYDROPTILA AMOENA,HYDROPTILA,HYDROPTILA,,
HYDROPTILA AMPODA,HYDROPTILA,HYDROPTILA,,
Hydroptila angusta,HYDROPTILA,HYDROPTILA,,
HYDROPTILA ARMATA,HYDROPTILA,HYDROPTILA,,
HYDROPTILA BERNERI,HYDROPTILA,HYDROPTILA,,
HYDROPTILA CALLIA,HYDROPTILA,HYDROPTILA,,
HYDROPTILA CONSIMILIS,HYDROPTILA,HYDROPTILA,,
HYDROPTILA DELINEATA,HYDROPTILA,HYDROPTILA,,
Hydroptila grandiosa,HYDROPTILA,HYDROPTILA,,
Hydroptila gunda,HYDROPTILA,HYDROPTILA,,
HYDROPTILA HAMATA,HYDROPTILA,HYDROPTILA,,
HYDROPTILA JACKMANNI,HYDROPTILA,HYDROPTILA,,
HYDROPTILA METOECA,HYDROPTILA,HYDROPTILA,,
HYDROPTILA NOVICOLA,HYDROPTILA,HYDROPTILA,,
Hydroptila perdita,HYDROPTILA,HYDROPTILA,,
HYDROPTILA QUINOLA,HYDROPTILA,HYDROPTILA,,
HYDROPTILA SALMO,HYDROPTILA,HYDROPTILA,,
HYDROPTILA SCOLOPS,HYDROPTILA,HYDROPTILA,,
Hydroptila sp,HYDROPTILA,HYDROPTILA,,
Hydroptila sp.,HYDROPTILA,HYDROPTILA,,
HYDROPTILA SPATULATA,HYDROPTILA,HYDROPTILA,,
HYDROPTILA STREPHA,HYDROPTILA,HYDROPTILA,,
HYDROPTILA TORTOSA,HYDROPTILA,HYDROPTILA,,
HYDROPTILA VALHALLA,HYDROPTILA,HYDROPTILA,,
HYDROPTILA VIRGATA,HYDROPTILA,HYDROPTILA,,
HYDROPTILA WASKESIA,HYDROPTILA,HYDROPTILA,,
Hydroptila waubesiana,HYDROPTILA,HYDROPTILA,,
HYDROPTILA WYOMIA,HYDROPTILA,HYDROPTILA,,
HYDROPTILIDAE,HYDROPTILIDAE,HYDROPTILIDAE,,
Hydroptilidae sp.,HYDROPTILIDAE,HYDROPTILIDAE,,
Hydropysche betteni,HYDROPSYCHE BETTENI,HYDROPSYCHE DEPRAVATA GROUP,,
Hydropysche bronta,HYDROPSYCHE BRONTA,HYDROPSYCHE MOROSA GROUP,,
Hydropysche slossonae,HYDROPSYCHE SLOSSONAE,HYDROPSYCHE MOROSA GROUP,,
Hydropyschidae,HYDROPSYCHIDAE,HYDROPSYCHIDAE,,
Hydrosmittia,HYDROSMITTIA,HYDROSMITTIA,,
Hydrosmittia sp.,HYDROSMITTIA,HYDROSMITTIA,,
Hydrotrupes palpalis,HYDROTRUPES PALPALIS,HYDROTRUPES PALPALIS,,
HYDROVATUS,HYDROVATUS,HYDROVATUS,,
Hydrovatus pustulatus,HYDROVATUS PUSTULATUS,HYDROVATUS,,
Hydrovatus sp,HYDROVATUS,HYDROVATUS,,
Hydrozetidae,HYDROZETIDAE,HYDROZETIDAE,,aquatic but many labs may think these are terrestrial
Hydrozoa,DNI,HYDRA,,
HYDROZOA_NRSA,DNI,HYDRA,,
Hydryphantes,HYDRYPHANTES,HYDRYPHANTES,,
HYDRYPHANTIDAE,HYDRYPHANTIDAE,HYDRYPHANTIDAE,,
Hydryphantoidea,DNI,ACARI,,
HYGROBATES,HYGROBATES,HYGROBATES,,
Hygrobates sp.,HYGROBATES,HYGROBATES,,
HYGROBATIDAE,HYGROBATIDAE,HYGROBATIDAE,,
Hygrotis sayi,HYGROTUS SAYI,HYGROTUS,,
Hygrotis sylvanus,HYGROTUS SYLVANUS,HYGROTUS,,
Hygrotus,HYGROTUS,HYGROTUS,,
HYGROTUS ACAROIDES,HYGROTUS ACAROIDES,HYGROTUS,,
HYGROTUS COMPAR,HYGROTUS COMPAR,HYGROTUS,,
HYGROTUS DISSIMILIS,HYGROTUS DISSIMILIS,HYGROTUS,,
Hygrotus falli,HYGROTUS FALLI,HYGROTUS,,
HYGROTUS FARCTUS,HYGROTUS FARCTUS,HYGROTUS,,
Hygrotus impressopunctatus,HYGROTUS IMPRESSOPUNCTATUS,HYGROTUS,,
Hygrotus impressopunctatus (Schaller),HYGROTUS IMPRESSOPUNCTATUS,HYGROTUS,,
HYGROTUS INFUSCATUS,HYGROTUS INFUSCATUS,HYGROTUS,,
HYGROTUS LACCOPHILINUS,HYGROTUS LACCOPHILINUS,HYGROTUS,,
Hygrotus marginipennis,HYGROTUS MARGINIPENNIS,HYGROTUS,,
HYGROTUS MARKLINI,HYGROTUS MARKLINI,HYGROTUS,,
Hygrotus nubilis,HYGROTUS NUBILUS,HYGROTUS,,
Hygrotus nubilus,HYGROTUS NUBILUS,HYGROTUS,,
HYGROTUS PATRUELIS,HYGROTUS PATRUELIS,HYGROTUS,,
Hygrotus picatus,HYGROTUS PICATUS,HYGROTUS,,
Hygrotus picatus (Kirby),HYGROTUS PICATUS,HYGROTUS,,
Hygrotus say,HYGROTUS SAYI,HYGROTUS,,
HYGROTUS SAYI,HYGROTUS SAYI,HYGROTUS,,
Hygrotus sayi J. Balfour Browne,HYGROTUS SAYI,HYGROTUS,,
Hygrotus sayi J. Balfour-Browne,HYGROTUS SAYI,HYGROTUS,,
Hygrotus sayi J.Balfour-Browne,HYGROTUS SAYI,HYGROTUS,,
HYGROTUS SELLATUS,HYGROTUS SELLATUS,HYGROTUS,,
Hygrotus sp,HYGROTUS,HYGROTUS,,
Hygrotus sp.,HYGROTUS,HYGROTUS,,
HYGROTUS SUTURALIS,HYGROTUS SUTURALIS,HYGROTUS,,
HYGROTUS SYLVANUS,HYGROTUS SYLVANUS,HYGROTUS,,
HYGROTUS TUMIDIVENTRIS,HYGROTUS TUMIDIVENTRIS,HYGROTUS,,
Hygrotus turbidus,HYGROTUS TURBIDUS,HYGROTUS,,
Hylogomphus,HYLOGOMPHUS,HYLOGOMPHUS,,
HYLOGOMPHUS ADELPHUS,HYLOGOMPHUS ADELPHUS,HYLOGOMPHUS ADELPHUS,,
Hylogomphus sp.,HYLOGOMPHUS,HYLOGOMPHUS,,
Hylogomphus viridifrons,HYLOGOMPHUS VIRIDIFRONS,HYLOGOMPHUS VIRIDIFRONS,,
Hymanella,TREPAXONEMATA,TREPAXONEMATA,,
Hymanella retenuova,TREPAXONEMATA,TREPAXONEMATA,,vernal pool species
Hymenoptera,DNI,HYMENOPTERA,,
Hyperodes,DNI,CURCULIONIDAE,,
HYPOGASTRURIDAE,DNI,COLLEMBOLA,,
Hyporhygma,HYPORHYGMA QUADRIPUNCTATUS,HYPORHYGMA QUADRIPUNCTATUS,NEARCTIC,SHOULD this be quadripuncatum?
Hyporhygma quadripunctatum,HYPORHYGMA QUADRIPUNCTATUS,HYPORHYGMA QUADRIPUNCTATUS,NEARCTIC,SHOULD this be quadripuncatum?
Hyporhygma quadripunctatus,HYPORHYGMA QUADRIPUNCTATUS,HYPORHYGMA QUADRIPUNCTATUS,NEARCTIC,SHOULD this be quadripuncatum?
Ilybiosoma,ILYBIOSOMA,ILYBIOSOMA,,
Ilybiosoma seriatum,ILYBIOSOMA SERIATUM,ILYBIOSOMA,,
Ilybius,ILYBIUS,ILYBIUS,,
ILYBIUS ANGUSTIOR,ILYBIUS ANGUSTIOR,ILYBIUS,,
ILYBIUS BIGUTTULUS,ILYBIUS BIGUTTULUS,ILYBIUS,,
ILYBIUS CONFUSUS,ILYBIUS CONFUSUS,ILYBIUS,,
Ilybius discedens,ILYBIUS DISCEDENS,ILYBIUS,,
ILYBIUS ERICHSONI,ILYBIUS ERICHSONI,ILYBIUS,,
Ilybius fraterculus,ILYBIUS FRATERCULUS,ILYBIUS,,
ILYBIUS GAGATES,ILYBIUS GAGATES,ILYBIUS,,
Ilybius ignarus,ILYBIUS IGNARUS,ILYBIUS,,
ILYBIUS INCARINATUS,ILYBIUS INCARINATUS,ILYBIUS,,
ILYBIUS OBLITUS,ILYBIUS OBLITUS,ILYBIUS,,
ILYBIUS OPACUS,ILYBIUS OPACUS,ILYBIUS,,
ILYBIUS PICIPES,ILYBIUS PICIPES,ILYBIUS,,
Ilybius pleuriticus,ILYBIUS PLEURITICUS,ILYBIUS,,
Ilybius pleuriticus (LeConte),ILYBIUS PLEURITICUS,ILYBIUS,,
Ilybius pleuriticus Le Conte,ILYBIUS PLEURITICUS,ILYBIUS,,
Ilybius sp,ILYBIUS,ILYBIUS,,
Ilybius sp.,ILYBIUS,ILYBIUS,,
ILYBIUS SUBAENEUS,ILYBIUS SUBAENEUS,ILYBIUS,,
Ilybius subaeneus (Erickson),ILYBIUS SUBAENEUS,ILYBIUS,,
ILYBIUS WASASTJERNAE,ILYBIUS WASASTJERNAE,ILYBIUS,,
ILYOCRYPTIDAE,DNI,DNI,,ZOOPLANKTON
ILYOCRYPTUS,DNI,DNI,,ZOOPLANKTON
ILYOCRYPTUS SORDIDUS,DNI,DNI,,ZOOPLANKTON
ILYOCRYPTUS SPINIFER,DNI,DNI,,ZOOPLANKTON
ILYODRILUS,ILYODRILUS,ILYODRILUS,,
Ilyodrilus templetoni,ILYODRILUS,ILYODRILUS,,
Imm. tubificidae w/ hair,DNI,DNI,,
Imm. tubificidae w/o hair,DNI,DNI,,
immaculicollis,DNI,DNI,,
immature,DNI,DNI,,
Immature oligochaete,DNI,OLIGOCHAETA,,
Immature tubificid,NAIDIDAE,NAIDIDAE,,
immature Tubificidae w/ capilliform chaetae,NAIDIDAE,NAIDIDAE,,
immature Tubificidae w/o capilliform chaetae,NAIDIDAE,NAIDIDAE,,
immature tubificinae with hairs,NAIDIDAE,NAIDIDAE,,
immature tubificinae without hairs,NAIDIDAE,NAIDIDAE,,
immature tubificine with hairs,NAIDIDAE,NAIDIDAE,,
immature tubificine without hairs,NAIDIDAE,NAIDIDAE,,
immature without hairs,DNI,DNI,,
immatures without hairs,DNI,DNI,,
Insecta,DNI,DNI,,
Integripalpia,DNI,INTEGRIPALPIA,,
IRONOQUIA,IRONOQUIA,IRONOQUIA,,
IRONOQUIA LYRATA,IRONOQUIA LYRATA,IRONOQUIA,,
IRONOQUIA PUNCTATISSIMA,IRONOQUIA PUNCTATISSIMA,IRONOQUIA,,
Ironoquia sp,IRONOQUIA,IRONOQUIA,,
Ironoquia sp.,IRONOQUIA,IRONOQUIA,,
ISCHNURA,ISCHNURA,ISCHNURA,,
Ischnura hastata,ISCHNURA HASTATA,ISCHNURA,,
ISCHNURA KELLICOTTI,ISCHNURA KELLICOTTI,ISCHNURA,,
Ischnura posita,ISCHNURA POSITA,ISCHNURA,,
Ischnura prognata,ISCHNURA PROGNATA,ISCHNURA,,
Ischnura ramburii,ISCHNURA RAMBURII,ISCHNURA,,
Ischnura sp,ISCHNURA,ISCHNURA,,
Ischnura sp.,ISCHNURA,ISCHNURA,,
Ischnura verticalis,ISCHNURA VERTICALIS,ISCHNURA,,
Ischnura verticalis(Say),ISCHNURA VERTICALIS,ISCHNURA,,
Ishnura sp.,ISCHNURA,ISCHNURA,,
ISOCHAETIDES,ISOCHAETIDES,ISOCHAETIDES,,
Isochaetides curvisetosus,ISOCHAETIDES CURVISETOSUS,ISOCHAETIDES,,
ISOCHAETIDES FREYI,ISOCHAETIDES FREYI,ISOCHAETIDES,,
Isoenoides sp.,ISOGENOIDES,ISOGENOIDES,,
ISOGENOIDES,ISOGENOIDES,ISOGENOIDES,,
ISOGENOIDES DORATUS,ISOGENOIDES DORATUS,ISOGENOIDES,,
Isogenoides frontalis,ISOGENOIDES FRONTALIS,ISOGENOIDES,,
ISOGENOIDES KRUMHOLZI,ISOGENOIDES KRUMHOLZI,ISOGENOIDES,,
Isogenoides olivaceus,ISOGENOIDES OLIVACEUS,ISOGENOIDES,,
Isogenoides olivaceus/frontalis,ISOGENOIDES,ISOGENOIDES,,
Isogenoides olivaceus_frontalis,ISOGENOIDES,ISOGENOIDES,,
Isogenoides sp,ISOGENOIDES,ISOGENOIDES,,
Isogenoides sp.,ISOGENOIDES,ISOGENOIDES,,
ISOGENOIDES VARIANS,ISOGENOIDES VARIANS,ISOGENOIDES,,
Isogenus,PERLODIDAE,PERLODIDAE,,erroneus ID
Isonichiidae,ISONYCHIA,ISONYCHIA,,
ISONYCHIA,ISONYCHIA,ISONYCHIA,,species IDs require adult maculation through larval skin
Isonychia arida,ISONYCHIA,ISONYCHIA,,species IDs require adult maculation through larval skin
Isonychia bicolor,ISONYCHIA,ISONYCHIA,,species IDs require adult maculation through larval skin
Isonychia rufa,ISONYCHIA,ISONYCHIA,,species IDs require adult maculation through larval skin
Isonychia sayi,ISONYCHIA,ISONYCHIA,,species IDs require adult maculation through larval skin
Isonychia sicca,ISONYCHIA,ISONYCHIA,,species IDs require adult maculation through larval skin
Isonychia sp,ISONYCHIA,ISONYCHIA,,species IDs require adult maculation through larval skin
Isonychia sp.,ISONYCHIA,ISONYCHIA,,species IDs require adult maculation through larval skin
Isonychiidae,ISONYCHIA,ISONYCHIA,,
ISOPERLA,ISOPERLA,ISOPERLA,,
Isoperla bilineata,ISOPERLA BILINEATA,ISOPERLA,,
ISOPERLA BURKSI,ISOPERLA BURKSI,ISOPERLA,,
ISOPERLA COTTA,ISOPERLA COTTA,ISOPERLA,,
Isoperla decepta,ISOPERLA DECEPTA,ISOPERLA,,
Isoperla dicala,ISOPERLA DICALA,ISOPERLA,,
Isoperla frisoni,ISOPERLA FRISONI,ISOPERLA,,
Isoperla holochlora,ISOPERLA HOLOCHLORA,ISOPERLA,,
Isoperla kirchneri,ISOPERLA KIRCHNERI COMPLEX,ISOPERLA KIRCHNERI COMPLEX,,
Isoperla lata,ISOPERLA LATA,ISOPERLA,,
Isoperla marlynia,ISOPERLA MARLYNIA,ISOPERLA,,
Isoperla montana,ISOPERLA MONTANA,ISOPERLA,,
ISOPERLA NANA,ISOPERLA NANA,ISOPERLA,,
ISOPERLA RICHARDSONI,ISOPERLA RICHARDSONI,ISOPERLA,,
