Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Megaleuctra,Megaleuctra,no,,Megaleuctra,Plecoptera
Stictotarsus,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Megarcys,Megarcys,no,,Megarcys,Plecoptera
Stictotarsus sp.,Hydroporinae,yes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Coleoptera
Menetus,Menetus,no,,Menetus,Mollusca
Hydropsyche sp.,Hydropsyche,yes,sp.,Hydropsyche,Trichoptera
Meringodixa,Meringodixa,no,,Meringodixa,Diptera
Hydroptila sp.,Hydroptila,yes,sp.,Hydroptila,Trichoptera
Hydrosmittia sp.,Hydrosmittia,yes,sp.,Hydrosmittia,Chironomidae
Ironodes sp.,Ironodes,yes,sp.,Ironodes,Ephemeroptera
Isogenoides sp.,Isogenoides,yes,sp.,Isogenoides,Plecoptera
Isoperla sp.,Isoperla,yes,sp.,Isoperla,Plecoptera
Mesocricotopus,Mesocricotopus,no,,Mesocricotopus,Chironomidae
Iswaeon anoka,Iswaeon,yes,backed off to genus,Iswaeon,Ephemeroptera
Metriocnemus,Metriocnemus,no,,Metriocnemus,Chironomidae
Plauditus (Plauditus punctventris),Iswaeon,yes,nomenclature,Iswaeon,Ephemeroptera
Micrasema,Micrasema,no,,Micrasema,Trichoptera
Kathroperla sp.,Kathroperla,yes,sp.,Kathroperla,Plecoptera
Microcylloepus,Microcylloepus,no,,Microcylloepus,Coleoptera
Kogotus,Kogotus/Rickera,yes,Slashed taxon,Kogotus/Rickera,Plecoptera
Micropsectra,Micropsectra,no,,Micropsectra,Chironomidae
Kogotus sp.,Kogotus/Rickera,yes,Slashed taxon,Kogotus/Rickera,Plecoptera
Microtendipes,Microtendipes,no,,Microtendipes,Chironomidae
Krenopelopia sp.,Krenopelopia,yes,sp.,Krenopelopia,Chironomidae
Krenosmittia sp.,Krenosmittia,yes,sp.,Krenosmittia,Chironomidae
Pseudocloeon,Labiobaetis,yes,nomenclature,Labiobaetis,Ephemeroptera
Microtendipes Rydalensis Group,Microtendipes Rydalensis Group,no,,Microtendipes Rydalensis Group,Chironomidae
Pseudocloeon sp.,Labiobaetis,yes,nomenclature,Labiobaetis,Ephemeroptera
Labrundinia sp.,Labrundinia,yes,sp.,Labrundinia,Chironomidae
Laccophilus sp.,Laccophilus,yes,sp.,Laccophilus,Coleoptera
LAEVAPEX,Laevapex,yes,CAPs,Laevapex,Mollusca
Molophilus,Molophilus,no,,Molophilus,Diptera
Lara avara,Lara,yes,backed off to genus,Lara,Coleoptera
Lara sp.,Lara,yes,sp.,Lara,Coleoptera
Monodiamesa,Monodiamesa,no,,Monodiamesa,Chironomidae
Larsia sp.,Larsia,yes,sp.,Larsia,Chironomidae
Monophylax mono,Monophylax mono,no,,Monophylax mono,Trichoptera
Moselia,Moselia,no,,Moselia,Plecoptera
Crambidae,Lepidoptera,yes,Backed off to Order. Lots of these are terrestrial,Lepidoptera,Lepidoptera
Muscidae,Muscidae,no,,Muscidae,Diptera
Lepidostoma sp.,Lepidostoma,yes,sp.,Lepidostoma,Trichoptera
Lepidostoma Unicolor Group,Lepidostoma,yes,best to leave at genus,Lepidostoma,Trichoptera
Musculium/Sphaerium,Musculium/Sphaerium,no,,Musculium/Sphaerium,Mollusca
Mystacides,Mystacides,no,,Mystacides,Trichoptera
Lepidostoma unicolor group,Lepidostoma,yes,best to leave at genus,Lepidostoma,Trichoptera
Lepidostoma-turret case larvae,Lepidostoma,yes,best to leave at genus,Lepidostoma,Trichoptera
Leptophlebiinae,Leptophlebiidae,yes,backed off to family,Leptophlebiidae,Ephemeroptera
Lestes sp.,Lestes,yes,sp.,Lestes,Odonata
Leucotrichia sp.,Leucotrichia,yes,sp.,Leucotrichia,Trichoptera
Paraleuctra,Leuctridae,yes,backed off to family,Leuctridae,Plecoptera
Paraleuctra sp.,Leuctridae,yes,backed off to family,Leuctridae,Plecoptera
Libellula,Libellulidae,yes,backed off to family,Libellulidae,Odonata
Pycnopsyche,Limnephilidae,yes,backed off to family,Limnephilidae,Trichoptera
Limnephilus sp.,Limnephilus,yes,sp.,Limnephilus,Trichoptera
Limnophyes sp.,Limnophyes,yes,sp.,Limnophyes,Chironomidae
Symplecta (Trimicra) pilipes,Limoniidae,yes,backed off to family,Limoniidae,Diptera
Lopescladius sp.,Lopescladius,yes,sp.,Lopescladius,Chironomidae
Nanocladius,Nanocladius,no,,Nanocladius,Chironomidae
Fossaria,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Narpus,Narpus,no,,Narpus,Coleoptera
Fossaria bulimiodes/cockerelli,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Fossaria sp.,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Natarsia,Natarsia,no,,Natarsia,Chironomidae
Galba,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Naucoridae,Naucoridae,no,"NonTarget - Hemiptera, water column or surface dwellers",Naucoridae,Hemiptera
Lymnaea stagnalis,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Neaviperla/Suwallia,Neaviperla/Suwallia,no,,Neaviperla/Suwallia,Plecoptera
Nectopsyche,Nectopsyche,no,,Nectopsyche,Trichoptera
Lymnaidae,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Nemata,Nemata,no,,Nemata,Misc. Phyla
Pseudosuccinea,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Nematomorpha,Nematomorpha,no,,Nematomorpha,Misc. Phyla
Stagnicola,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Nemotelus,Nemotelus,no,,Nemotelus,Diptera
Stagnicola caperata,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Nemouridae,Nemouridae,no,,Nemouridae,Plecoptera
Stagnicola idahoensis (shortspire pondsnail),Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Neoleptophlebia/Paraleptophlebia,Neoleptophlebia/Paraleptophlebia,no,,Neoleptophlebia/Paraleptophlebia,Ephemeroptera
Neophylax,Neophylax,no,,Neophylax,Trichoptera
Stagnicola sp.,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Neophylax occidentis,Neophylax occidentis,no,,Neophylax occidentis,Trichoptera
Neophylax rickeri,Neophylax rickeri,no,,Neophylax rickeri,Trichoptera
Maccaffertium terminatum,Maccaffertium,yes,backed off to genus,Maccaffertium,Ephemeroptera
Neophylax splendens,Neophylax splendens,no,,Neophylax splendens,Trichoptera
Neoplasta,Neoplasta,no,,Neoplasta,Diptera
Stenonema,Maccaffertium/Stenonema,yes,Slashed taxon. Unsure whether this is Stenonema femoratum or Maccaffertium,Maccaffertium/Stenonema,Ephemeroptera
Neothremma,Neothremma,no,,Neothremma,Trichoptera
Macromia (emeralds),Macromia,yes,naming scheme,Macromia,Odonata
Neotrichia,Neotrichia,no,,Neotrichia,Trichoptera
Macropelopia sp.,Macropelopia,yes,sp.,Macropelopia,Chironomidae
Neozavrelia,Neozavrelia,no,,Neozavrelia,Chironomidae
Amphinemura sp.,Malenka,yes,nomenclature,Malenka,Plecoptera
Malenka sp.,Malenka,yes,sp.,Malenka,Plecoptera
Neureclipsis,Neureclipsis,no,,Neureclipsis,Trichoptera
Nilotanypus,Nilotanypus,no,,Nilotanypus,Chironomidae
Margaritifera,Margaritifera falcata,yes,monotypic,Margaritifera falcata,Mollusca
Maruina sp.,Maruina,yes,sp.,Maruina,Diptera
Nilothauma,Nilothauma,no,,Nilothauma,Chironomidae
Matriella,Matriella teresa,yes,monotypic,Matriella teresa,Ephemeroptera
Serratella teresa,Matriella teresa,yes,nomenclature,Matriella teresa,Ephemeroptera
Mayatrichia sp.,Mayatrichia,yes,sp.,Mayatrichia,Trichoptera
Megaleuctra sp.,Megaleuctra,yes,sp.,Megaleuctra,Plecoptera
Nyctiophylax,Nyctiophylax,no,,Nyctiophylax,Trichoptera
Ochrotrichia,Ochrotrichia,no,,Ochrotrichia,Trichoptera
Megarcys sp.,Megarcys,yes,sp.,Megarcys,Plecoptera
Menetus opercularis,Menetus,yes,backed off to genus,Menetus,Mollusca
Meringodixa chalonensis,Meringodixa,yes,backed off to genus,Meringodixa,Diptera
Octogomphus specularis,Octogomphus specularis,no,,Octogomphus specularis,Odonata
Odonata,Odonata,no,,Odonata,Odonata
Odontomesa,Odontomesa,no,,Odontomesa,Chironomidae
Meringodixa sp.,Meringodixa,yes,sp.,Meringodixa,Diptera
Odontomyia,Odontomyia,no,,Odontomyia,Diptera
Mesocricotopus sp.,Mesocricotopus,yes,sp.,Mesocricotopus,Chironomidae
Oecetis,Oecetis,no,,Oecetis,Trichoptera
Metriocnemus sp.,Metriocnemus,yes,sp.,Metriocnemus,Chironomidae
Micrasema sp.,Micrasema,yes,sp.,Micrasema,Trichoptera
Microcylloepus sp.,Microcylloepus,yes,sp.,Microcylloepus,Coleoptera
Micropsectra sp.,Micropsectra,yes,sp.,Micropsectra,Chironomidae
Oligochaeta,Oligochaeta,no,,Oligochaeta,Oligochaeta
Oligophlebodes,Oligophlebodes,no,,Oligophlebodes,Trichoptera
Microtendipes sp.,Microtendipes,yes,sp.,Microtendipes,Chironomidae
Onocosmoecus,Onocosmoecus,no,two species in region,Onocosmoecus,Trichoptera
Microtendipes Pedellus gr.,Microtendipes Pedellus Group,yes,FORMATTING,Microtendipes Pedellus Group,Chironomidae
Microtendipes pedellus group,Microtendipes Pedellus Group,yes,FORMATTING,Microtendipes Pedellus Group,Chironomidae
Microtendipes Rydalensis Gr.,Microtendipes Rydalensis Group,yes,FORMATTING,Microtendipes Rydalensis Group,Chironomidae
Molophilus sp.,Molophilus,yes,sp.,Molophilus,Diptera
Ophiogomphus,Ophiogomphus,no,,Ophiogomphus,Odonata
Monodiamesa sp.,Monodiamesa,yes,sp.,Monodiamesa,Chironomidae
Desmona,Monophylax mono,yes,nomenclature,Monophylax mono,Trichoptera
Desmona mono,Monophylax mono,yes,nomenclature,Monophylax mono,Trichoptera
Optioservus,Optioservus,no,,Optioservus,Coleoptera
Desmona sp.,Monophylax mono,yes,nomenclature,Monophylax mono,Trichoptera
Moselia sp.,Moselia,yes,sp.,Moselia,Plecoptera
Limnophora,Muscidae,yes,backed off to family,Muscidae,Diptera
Musculium,Musculium/Sphaerium,yes,Slashed taxon,Musculium/Sphaerium,Mollusca
Musculium sp.,Musculium/Sphaerium,yes,Slashed taxon,Musculium/Sphaerium,Mollusca
Sphaerium,Musculium/Sphaerium,yes,Slashed taxon,Musculium/Sphaerium,Mollusca
Sphaerium sp.,Musculium/Sphaerium,yes,Slashed taxon,Musculium/Sphaerium,Mollusca
Sphaerium striatinum,Musculium/Sphaerium,yes,Slashed taxon,Musculium/Sphaerium,Mollusca
Ordobrevia nubifera,Ordobrevia nubifera,no,monotypic,Ordobrevia nubifera,Coleoptera
Mystacides alafimbriata,Mystacides,yes,backed off to genus,Mystacides,Trichoptera
Mystacides sp.,Mystacides,yes,sp.,Mystacides,Trichoptera
Oreogeton,Oreogeton,no,,Oreogeton,Diptera
Nanocladius sp.,Nanocladius,yes,sp.,Nanocladius,Chironomidae
Oreoleptis torrenticola,Oreoleptis torrenticola,no,,Oreoleptis torrenticola,Diptera
Narpus concolor,Narpus,yes,backed off to genus,Narpus,Coleoptera
Narpus sp.,Narpus,yes,sp.,Narpus,Coleoptera
Ormosia,Ormosia,no,,Ormosia,Diptera
Natarsia sp.,Natarsia,yes,sp.,Natarsia,Chironomidae
Oropuella,Oropuella,no,,Oropuella,Chironomidae
Suwallia,Neaviperla/Suwallia,yes,Slashed taxon,Neaviperla/Suwallia,Plecoptera
Orthocladiinae,Orthocladiinae,no,,Orthocladiinae,Chironomidae
Orthocladius,Orthocladius,no,,Orthocladius,Chironomidae
Suwallia sp.,Neaviperla/Suwallia,yes,Slashed taxon,Neaviperla/Suwallia,Plecoptera
Nectopsyche sp.,Nectopsyche,yes,sp.,Nectopsyche,Trichoptera
Nematoda,Nemata,yes,naming scheme,Nemata,Misc. Phyla
Nemotelus sp.,Nemotelus,yes,sp.,Nemotelus,Diptera
Neoleptophlebia,Neoleptophlebia/Paraleptophlebia,yes,Slashed taxon,Neoleptophlebia/Paraleptophlebia,Ephemeroptera
Paraleptophlebia,Neoleptophlebia/Paraleptophlebia,yes,Slashed taxon,Neoleptophlebia/Paraleptophlebia,Ephemeroptera
Paraleptophlebia sp.,Neoleptophlebia/Paraleptophlebia,yes,Slashed taxon,Neoleptophlebia/Paraleptophlebia,Ephemeroptera
Neophylax A64,Neophylax,yes,backed off to genus,Neophylax,Trichoptera
Neophylax sp.,Neophylax,yes,sp.,Neophylax,Trichoptera
Neoplasta sp.,Neoplasta,yes,sp.,Neoplasta,Diptera
Neothremma sp.,Neothremma,yes,sp.,Neothremma,Trichoptera
Neotrichia sp.,Neotrichia,yes,sp.,Neotrichia,Trichoptera
Orthotrichia,Orthotrichia,no,,Orthotrichia,Trichoptera
Neozavrelia sp.,Neozavrelia,yes,not sure about this one,Neozavrelia,Chironomidae
Ostracoda,Ostracoda,no,,Ostracoda,Crustacea
Nilotanypus fimbriatus,Nilotanypus,yes,backed off to genus,Nilotanypus,Chironomidae
Nilotanypus sp.,Nilotanypus,yes,sp.,Nilotanypus,Chironomidae
Oxyethira,Oxyethira,no,,Oxyethira,Trichoptera
Ochrotrichia sp.,Ochrotrichia,yes,sp.,Ochrotrichia,Trichoptera
Pacifastacus,Pacifastacus,no,,Pacifastacus,Crustacea
Octogomphus,Octogomphus specularis,yes,monotypic,Octogomphus specularis,Odonata
Odontomesa sp.,Odontomesa,yes,sp.,Odontomesa,Chironomidae
Odontomyia sp,Odontomyia,yes,sp.,Odontomyia,Diptera
Oecetis avara,Oecetis,yes,backed off to genus,Oecetis,Trichoptera
Pagastia,Pagastia,no,,Pagastia,Chironomidae
Oecetis avara group,Oecetis,yes,backed off to genus,Oecetis,Trichoptera
Pagastiella,Pagastiella,no,,Pagastiella,Chironomidae
Oecetis disjuncta,Oecetis,yes,backed off to genus,Oecetis,Trichoptera
Parachaetocladius,Parachaetocladius,no,,Parachaetocladius,Chironomidae
Oecetis sp.,Oecetis,yes,sp.,Oecetis,Trichoptera
Parachironomus,Parachironomus,no,,Parachironomus,Chironomidae
Arcteonais,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Paracladius,Paracladius,no,,Paracladius,Chironomidae
Aulodrilus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Paracladopelma,Paracladopelma,no,,Paracladopelma,Chironomidae
Aulodrilus americanus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Paracricotopus,Paracricotopus,no,,Paracricotopus,Chironomidae
Aulodrilus limnobius,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Parakiefferiella,Parakiefferiella,no,,Parakiefferiella,Chironomidae
Aulodrilus pigueti,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Paralauterborniella,Paralauterborniella,no,monotypic; historic spelling issues,Paralauterborniella,Chironomidae
Aulodrilus pluriseta,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Chaetogaster,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Chaetogaster diaphanus,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Chaetogaster diastrophus,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Chaetogaster limnaei,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Dero,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Dero digitata,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Dero sp.,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Eclipidrilus,Oligochaeta,yes,worms to Oligochaeta,Lumbriculidae,Oligochaeta
Paralimnophyes,Paralimnophyes,no,,Paralimnophyes,Chironomidae
Enchytraeidae,Oligochaeta,yes,worms to Oligochaeta,Enchytraeidae,Oligochaeta
Haplotaxida,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Parametriocnemus,Parametriocnemus,no,,Parametriocnemus,Chironomidae
Haplotaxidae,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Haplotaxis,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Paraperla,Paraperla,no,,Paraperla,Plecoptera
Haplotaxis cf. gordioides,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Paraphaenocladius,Paraphaenocladius,no,,Paraphaenocladius,Chironomidae
Haplotaxis sp.,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Ilyodrilus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Parapsyche,Parapsyche,no,,Parapsyche,Trichoptera
Parapsyche almota,Parapsyche almota,no,,Parapsyche almota,Trichoptera
Parapsyche elsis,Parapsyche elsis,no,,Parapsyche elsis,Trichoptera
Ilyodrilus templetoni,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Paratanytarsus,Paratanytarsus,no,,Paratanytarsus,Chironomidae
Kincaidiana hexatheca,Oligochaeta,yes,worms to Oligochaeta,Lumbriculidae,Oligochaeta
Paratendipes,Paratendipes,no,,Paratendipes,Chironomidae
Limnodrilus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Limnodrilus claparedeianus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Parochlus,Parochlus,no,,Parochlus,Chironomidae
Limnodrilus hoffmeisteri,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Limnodrilus silvani,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Parorthocladius,Parorthocladius,no,,Parorthocladius,Chironomidae
Limnodrilus udekemianus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Pedicia,Pedicia,no,,Pedicia,Diptera
Lumbriculidae,Oligochaeta,yes,worms to Oligochaeta,Lumbriculidae,Oligochaeta
Naididae,Oligochaeta,yes,worms to Oligochaeta,Naididae,Oligochaeta
Pedomoecus sierra,Pedomoecus sierra,no,monotypic,Pedomoecus sierra,Trichoptera
Peltodytes,Peltodytes,no,,Peltodytes,Coleoptera
Peltoperlidae,Peltoperlidae,no,,Peltoperlidae,Plecoptera
Pentaneura,Pentaneura,no,,Pentaneura,Chironomidae
Naidinae,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Pentaneurini,Pentaneurini,no,,Pentaneurini,Chironomidae
Nais,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais barbata,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Pericomaini,Pericomaini,no,,Pericomaini,Diptera
Perlidae,Perlidae,no,,Perlidae,Plecoptera
Nais behningi,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais bicuspidalis,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Perlinodes aureus,Perlinodes aureus,no,,Perlinodes aureus,Plecoptera
Perlodidae,Perlodidae,no,,Perlodidae,Plecoptera
Perlomyia,Perlomyia,no,,Perlomyia,Plecoptera
Nais bretscheri,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Petrophila,Petrophila,no,,Petrophila,Lepidoptera
Nais elinguis,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais pardalis,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Phaenopsectra,Phaenopsectra,no,,Phaenopsectra,Chironomidae
Nais sp.,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Nais variabilis,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Ophidonais,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Philocasca,Philocasca,no,,Philocasca,Trichoptera
Ophidonais serpentina,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Philopotamidae,Philopotamidae,no,,Philopotamidae,Trichoptera
Paranais,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Potamothrix bavaricus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Pristina,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Pristina aequiseta,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Pristina jenkinae,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Physa/Physella,Physa/Physella,no,,Physa/Physella,Mollusca
Pristina leidyi,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Pristina osborni,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Pristina sima,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Pilaria,Pilaria,no,,Pilaria,Diptera
Pristina sp.,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Quistradrilus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Quistradrilus multisetosus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Rhyacodrilus,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Rhyacodrilus coccineus,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Rhyacodrilus falciformis,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Rhyacodrilus sodalis,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Rhyacodrilus sp.,Oligochaeta,yes,worms to Oligochaeta,Oligochaeta,Oligochaeta
Piscicolidae,Piscicolidae,no,,Piscicolidae,Leeches
Slavina,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Pisidium,Pisidium,no,,Pisidium,Mollusca
Slavina appendiculata,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Specaria,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Planorbella,Planorbella,no,,Planorbella,Mollusca
Spirosperma,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Spirosperma ferox,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Planorbidae,Planorbidae,no,,Planorbidae,Mollusca
Platyhelminthes,Platyhelminthes,no,,Platyhelminthes,Misc. Phyla
Platysmittia,Platysmittia,no,,Platysmittia,Chironomidae
Stylaria,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Stylaria lacustris,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Plauditus,Plauditus,no,,Plauditus,Ephemeroptera
Stylodrilus heringianus,Oligochaeta,yes,worms to Oligochaeta,Lumbriculidae,Oligochaeta
Telmatodrilinae,Oligochaeta,yes,worms to Oligochaeta,Telmatodrilinae,Oligochaeta
TELMATODRILUS,Oligochaeta,yes,worms to Oligochaeta,Telmatodrilinae,Oligochaeta
Plecoptera,Plecoptera,no,,Plecoptera,Plecoptera
Podmosta,Podmosta,no,,Podmosta,Plecoptera
Telmatodrilus vejdovskyi,Oligochaeta,yes,worms to Oligochaeta,Telmatodrilinae,Oligochaeta
Podonominae,Podonominae,no,,Podonominae,Chironomidae
Polycelis,Polycelis,no,,Polycelis,Misc. Phyla
Teneridrilus,Oligochaeta,yes,worms to Oligochaeta,Telmatodrilinae,Oligochaeta
Polycentropodidae,Polycentropodidae,no,,Polycentropodidae,Trichoptera
Tubifex,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Polycentropus sensu lato,Polycentropus sensu lato,no,,Polycentropus sensu lato,Trichoptera
Tubifex tubifex,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Polypedilum,Polypedilum,no,,Polypedilum,Chironomidae
Tubificidae,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Tubificidae w/ cap setae,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Potamopyrgus antipodarum,Potamopyrgus antipodarum,no,monotypic,Potamopyrgus antipodarum,Mollusca
Tubificidae w/o cap setae,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Potthastia,Potthastia,no,,Potthastia,Chironomidae
Tubificinae,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Uncinais,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Uncinais uncinata,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Varichaetadrilus,Oligochaeta,yes,worms to Oligochaeta,Tubificinae,Oligochaeta
Potthastia Longimanus Group,Potthastia Longimanus Group,no,,Potthastia Longimanus Group,Chironomidae
Vejdovskyella,Oligochaeta,yes,worms to Oligochaeta,Naidinae,Oligochaeta
Oligophlebodes sp.,Oligophlebodes,yes,sp.,Oligophlebodes,Trichoptera
Onocosmoecus sp.,Onocosmoecus,yes,sp.,Onocosmoecus,Trichoptera
Onocosmoecus unicolor,Onocosmoecus,yes,backed off to genus,Onocosmoecus,Trichoptera
Ophiogomphus occidentis,Ophiogomphus,yes,backed off to genus,Ophiogomphus,Odonata
Ophiogomphus severus,Ophiogomphus,yes,backed off to genus,Ophiogomphus,Odonata
Ophiogomphus sp.,Ophiogomphus,yes,sp.,Ophiogomphus,Odonata
Optioservus divergens,Optioservus,yes,backed off to genus,Optioservus,Coleoptera
Pristinicola hemphilli,Pristinicola hemphilli,no,monotypic,Pristinicola hemphilli,Mollusca
Optioservus quadrimaculatus,Optioservus,yes,backed off to genus,Optioservus,Coleoptera
Optioservus sp.,Optioservus,yes,sp.,Optioservus,Coleoptera
Procladius,Procladius,no,,Procladius,Chironomidae
Ordobrevia,Ordobrevia nubifera,yes,monotypic,Ordobrevia nubifera,Coleoptera
Oreogeton sp.,Oreogeton,yes,sp.,Oreogeton,Diptera
Oropuella sp.,Oropuella,yes,sp.,Oropuella,Chironomidae
Prodiamesa,Prodiamesa,no,,Prodiamesa,Chironomidae
Orthocladius (Euortho.) rivulorum,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius (Euortho.) rivulorum gr.,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius (Euorthocladius),Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius (Euorthocladius) sp.,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius (Euorthos.) rivicola gr.,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Prostoma,Prostoma,no,,Prostoma,Misc. Phyla
Orthocladius (Euorthos.) rivulorum gr.,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius (Symp.) lignicola,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius annectens,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius Genus 5,Orthocladius,yes,backed off to genus,Orthocladius,Chironomidae
Orthocladius sp.,Orthocladius,yes,sp.,Orthocladius,Chironomidae
Symposiocladius,Orthocladius,yes,nomenclature,Orthocladius,Chironomidae
Orthotrichia sp.,Orthotrichia,yes,sp.,Orthotrichia,Trichoptera
Psectrocladius,Psectrocladius,no,,Psectrocladius,Chironomidae
Oxyethira sp.,Oxyethira,yes,sp.,Oxyethira,Trichoptera
Psectrotanypus,Psectrotanypus,no,,Psectrotanypus,Chironomidae
